step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854542.7100294,8.166841836183542,61.88093963926744,-1.9078961046242522,-1.9078961046242522,9.691958847254906,61.88093963926744,-1.9097363765759505,0.0,0.0,-0.00980021020342025,False,-0.03266736734473417,True,0.0,-0.024500525508550627,0.0,0.0,-0.06696810305670504,-0.06696810305670504,False,-0.06696810305670504,0.12299999798415229,-0.0008188058975850022;-0.006204170393045309;0.00019128527450163312;-0.00010025979613774907,-0.3910731165581726,0.016011569269531012,315.78973005518543,0.9999999998402987,False,-0.3910731165581726,0.0,0.0,0.0
1,1786854542.8614914,3.0214477202117225,62.08445491229707,-0.6982816811706269,-0.6982816811706269,2.341395824438022,62.08445491229707,-0.18171577164220004,-0.3878903470469839,-0.34910131234228553,-0.013425947467674317,False,-0.012085790880846891,True,0.34307907336011567,-0.012495133894236324,0.05146186100401735,0.0,-0.3871081845850431,-0.3871081845850431,False,-0.3871081845850431,0.17659999866737053,0.061548895063248864;-0.014887594612403847;-0.014471741579047816;-0.00020019877775925366,-0.34063675176360264,0.1898035099416211,221.68029873811201,0.9953401145987487,False,-0.7285270988105865,-0.3878903470469839,0.0,0.15146207809448242
2,1786854543.012009,3.3265962724910203,62.57069060337595,-0.8461901777127736,-0.8461901777127736,4.982491234539228,62.57069060337595,-0.9114198053253919,-0.7147331046270347,-0.6432597941643312,-0.013425947467674317,False,0.0,False,0.7397211763522762,0.0,0.05146186100401735,0.0,-0.6566857416320055,-0.6566857416320055,False,-0.6566857416320055,0.15910000365693122,0.34763265149628136;-0.020410963218476585;1.10060869870854;0.12407900131410322,-0.34611941574178995,3.345366865899385,204.2038221190428,0.9972975196926405,False,-1.0608525203688246,-0.7147331046270347,0.0,0.30197954177856445
3,1786854543.1625216,4.2680862679015785,63.24723311380608,-1.1170114129019408,-1.1170114129019408,6.196698991291754,63.24723311380608,-1.2349179285061394,-0.9125242789133062,-0.8212718510219756,-0.013425947467674317,False,0.0,False,1.2886809313061391,0.0,0.05146186100401735,0.0,-0.83469779848965,-0.83469779848965,False,-0.83469779848965,0.16089999553514645,0.6588407895260071;-0.02516895265828828;2.4410702396234134;0.3975405186848422,-0.35891702824804617,3.9090633383251223,181.17990395935868,0.5481433830439026,False,-1.2714413071613524,-0.9125242789133062,0.0,0.45249223709106445
4,1786854543.3130445,5.856731804006573,64.05522608389884,-1.505256167788318,-1.505256167788318,8.062696901980079,64.05522608389884,-1.6734870489770355,-1.030444662540644,-0.9274001962865797,-0.013425947467674317,False,0.0,False,2.0775964274536065,0.0,0.05146186100401735,0.0,-0.940826143754254,-0.940826143754254,False,-0.940826143754254,0.16250000044237822,0.880320720880089;-0.031089609449988054;3.494274861033327;0.8766576833746205,-0.37884344845956,3.109685260212248,171.48663150386818,0.31765458522207113,False,-1.409288111000204,-1.030444662540644,0.0,0.6030151844024658
5,1786854543.4635131,7.214745587457096,64.92030080196174,-1.777339513849977,-1.777339513849977,9.321868505721543,64.92030080196174,-1.895786934113815,-1.0009118601846139,-0.9008206741661525,-0.013425947467674317,False,0.0,False,3.0600105634704775,0.0,0.05146186100401735,0.0,-0.9142466216338269,-0.9142466216338269,False,-0.9142466216338269,0.1582000040798448,0.8818639879906452;-0.04352727254251158;3.6504880464381873;1.7845693209797344,-0.39674895988437964,2.322218340524138,171.237855737909,0.22157319219348565,False,-1.3976608200689935,-1.0009118601846139,0.0,0.753483772277832
6,1786854543.6140068,7.195421571672917,65.77703854798213,-1.738681069879636,-1.738681069879636,8.71225686169392,65.77703854798213,-1.7239534372726169,-1.0801770626321499,-0.9721593563689349,-0.013425947467674317,False,0.0,False,4.0297038741094084,0.0,0.05146186100401735,0.0,-0.9855853038366093,-0.9855853038366093,False,-0.9855853038366093,0.1658000037423335,0.7662319516299284;-0.06287630776003711;3.2424841648137335;3.034247022736632,-0.4008394084566398,3.2926231672655906,163.2194569201877,0.29284800017585905,False,-1.4810164710887896,-1.0801770626321499,0.0,0.9039773941040039
7,1786854543.764487,7.935149557505298,66.70520552127645,-1.8460818842760953,-1.8460818842760953,9.777292848219112,66.70520552127645,-1.8939510766834193,-1.0656561536077636,-0.9590905382469872,-0.013425947467674317,False,0.0,False,5.098157539805634,0.0,0.05146186100401735,0.0,-0.9725164857146615,-0.9725164857146615,False,-0.9725164857146615,0.16260000120382756,0.5297224566327032;-0.08181051456732286;2.293611522853311;4.2187805439152815,-0.4128775231814352,3.7206085813783556,144.5103086123357,0.31792772875274666,False,-1.4785336767891988,-1.0656561536077636,0.0,1.054457664489746
8,1786854543.9149983,7.519221116778908,67.58585215283398,-1.868608935932421,-1.868608935932421,8.866083081824678,67.58585215283398,-1.8801036585939732,-1.6132155033957156,-1.451893953056144,-0.013425947467674317,False,0.0,False,6.094188517950535,0.0,0.05146186100401735,0.0,-1.4653199005238184,-1.0,False,-1.0,0.15639999764971435,0.6626536414314306;-0.09959003395546691;2.9040741195086786;5.409944299190401,-0.41312147193195914,3.2561486568523237,135.36384273759103,0.2177878977425638,False,-2.0263369753276748,-1.6132155033957156,0.0,1.2049689292907715
9,1786854544.0654783,7.678064227354384,68.51136993871407,-1.777809385870929,-1.777809385870929,9.271256857243811,68.51136993871407,-1.740735564939131,-1.4880983668682841,-1.3392885301814557,-0.013425947467674317,False,0.0,False,7.106498789973664,0.0,0.05146186100401735,0.0,-1.35271447764913,-1.0,False,-1.0,0.15919999714242294,0.46326847759532475;-0.12233996816350318;2.025296677707663;6.750388549379436,-0.41933749196711423,3.852116037556597,115.73178941905344,0.22867382182194657,False,-1.9074358588353983,-1.4880983668682841,0.0,1.3554489612579346
