step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854545.7205667,7.278462042399572,79.0632543585694,-1.930600897338636,-1.930600897338636,8.803579053470937,79.0632543585694,-1.9324411692903343,0.0,0.0,-0.008734154450879486,False,-0.029113848169598288,True,0.0,-0.021835386127198715,0.0,0.0,-0.05968338874767649,-0.05968338874767649,False,-0.05968338874767649,0.12650000280700624,-0.0005400555865689025;-0.005866425071660692;0.0001432489163189935;-7.419913484784163e-05,-0.4681008922168427,0.01259010520904964,315.7896321951984,0.9999999998303197,False,-0.4681008922168427,0.0,0.0,0.0
1,1786854545.8721123,2.5050279717678037,79.27604284184,-0.653104899251257,-0.653104899251257,1.9843875239969817,79.27604284184,-0.10744688630836445,-0.46658757536399004,-0.41992881782759106,-0.01174018801700085,False,-0.010020111887071215,True,0.2823627178175059,-0.01033871109347847,0.04235440767262588,0.0,-0.45202782882514153,-0.45202782882514153,True,-0.41968338874767647,0.1982000030693598,0.08144684629459001;-0.01395120489652939;-0.021799559407243943;-0.00013000117492640938,-0.4214304939268781,0.20230312216635699,221.69060745577232,0.9976176824139034,False,-0.8880180692908681,-0.46658757536399004,0.0,0.15154552459716797
2,1786854546.022557,2.7267334267741488,79.72244054241963,-0.7786892010395086,-0.7786892010395086,4.346867061419662,79.72244054241963,-0.8343513166147432,-0.8732951842389695,-0.7859656658150725,-0.01174018801700085,False,0.0,False,0.6084435870468639,0.0,0.04235440767262588,0.0,-0.7977058538320734,-0.7977058538320734,True,-0.7796833887476764,0.17189999925903976,0.4492564175918814;-0.018995091772348042;1.2233670115090018;0.11640163466623908,-0.4258795369798397,3.060919634058076,210.37651699608125,0.9961852501691497,False,-1.2991747212188092,-0.8732951842389695,0.0,0.301990270614624
3,1786854546.173091,5.189581014294803,80.42680454355383,-1.3097232731642328,-1.3097232731642328,7.770204134303592,80.42680454355383,-1.5391495760265272,-0.6821325699050542,-0.6139193129145488,-0.01174018801700085,False,0.0,False,1.3046600739064615,0.0,0.04235440767262588,0.0,-0.6256595009315497,-0.6256595009315497,False,-0.6256595009315497,0.16060000052675605,0.01406065300668008;-0.02518444600357932;-0.37525929493387045;0.5455648448858534,-0.4540298328607173,3.76956871171493,192.21351823401758,2.5822552035644653,False,-1.1361624027657715,-0.6821325699050542,0.0,0.45252418518066406
4,1786854546.3235905,5.399539802857454,81.08455516053905,-1.468514322229431,-1.468514322229431,7.014639151884241,81.08455516053905,-1.5384079009233573,-0.8695100515551479,-0.7825590463996331,-0.01174018801700085,False,0.0,False,2.0267736039977535,0.0,0.04235440767262588,0.0,-0.794299234416634,-0.794299234416634,False,-0.794299234416634,0.16570000298088416,0.26704404078660127;-0.03394831357847056;0.6930268670643438;1.286786796281575,-0.4594181738312699,2.8833414588723616,189.03232546164548,0.8913505062550077,False,-1.3289282253864179,-0.8695100515551479,0.0,0.6030237674713135
5,1786854546.474045,6.159543887703714,81.8406800554178,-1.5505799147448118,-1.5505799147448118,8.010376935137764,81.8406800554178,-1.587591154917388,-0.9212903249887123,-0.8291612924898412,-0.01174018801700085,False,0.0,False,2.856488606980818,0.0,0.04235440767262588,0.0,-0.840901480506842,-0.840901480506842,False,-0.840901480506842,0.1638999965507537,-0.09213447909628347;-0.04303609347320493;-0.5870122383697776;2.0402884447518677,-0.47079883915412624,3.245945496168862,179.37327401415203,0.718981732309489,False,-1.3920891641428386,-0.9212903249887123,0.0,0.7534782886505127
6,1786854546.6245587,6.862800038282702,82.62996362317668,-1.5631400437060232,-1.5631400437060232,8.689312542459348,82.62996362317668,-1.5703632280696693,-1.230500564150514,-1.1074505077354626,-0.01174018801700085,False,0.0,False,3.7800184439258544,0.0,0.04235440767262588,0.0,-1.1191906957524635,-1.0,False,-1.0,0.1630000042496249,-0.4583179219492433;-0.045475027456409176;-1.9755104610640846;2.2206719238837294,-0.4817778184987105,3.003999016188878,151.97195602077863,0.48118793148513495,False,-1.7122783826492245,-1.230500564150514,0.0,0.9039919376373291
7,1786854546.7750185,7.733997261870617,83.59243422770098,-1.8689789004367061,-1.8689789004367061,9.632484511622517,83.59243422770098,-2.0018929681301256,-1.433138501869967,-1.2898246516829703,-0.01174018801700085,False,0.0,False,4.826888759132359,0.0,0.04235440767262588,0.0,-1.3015648396999713,-1.0,False,-1.0,0.15919999714242294,-0.5536978566348114;-0.054351458987149784;-2.2114153083237773;3.0673744498273683,-0.49530214375721116,1.785084771034908,154.76562887092382,0.23132553661744745,False,-1.928440645627178,-1.433138501869967,0.0,1.0544517040252686
8,1786854546.9255173,7.90412594456944,84.55634588270065,-1.8820202133890946,-1.8820202133890946,9.502155248226016,84.55634588270065,-1.8894496194632453,-1.7429555991357653,-1.5686600392221888,-0.01174018801700085,False,0.0,False,5.890600139734772,0.0,0.04235440767262588,0.0,-1.5804002272391897,-1.0,False,-1.0,0.16109999705804512,-0.6523579051610482;-0.06556216981504706;-2.5204594897724943;4.040539021875938,-0.5018229888591978,2.044294170511801,156.53398072783557,0.2134065186381113,False,-2.244778587994963,-1.7429555991357653,0.0,1.2049505710601807
9,1786854547.0759888,7.934888501954545,85.49840277094053,-1.9780668606652747,-1.9780668606652747,9.473189466190956,85.49840277094053,-2.0210699814496214,-1.7556716299610313,-1.5801044669649282,-0.01174018801700085,False,0.0,False,6.948824393867312,0.0,0.04235440767262588,0.0,-1.5918446549819292,-1.0,False,-1.0,0.16039999900385737,-0.5495406291048551;-0.0857468229594465;-2.013588309722449;5.779027554090497,-0.5068408988742483,3.5788385675722107,145.26596914145608,0.29518328423279405,False,-2.2625125288352796,-1.7556716299610313,0.0,1.355422019958496
