step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786853068.145808,-0.9624999763882554,0.0,0.0,0.12750529811351008,0.5706534172795343,290.567385790524,0.13484557611696393,0.09624999763882554,0.08662499787494299,0.15,True,0.0038499999055530217,True,0.0,0.0,0.0,0.0,0.240474997780496,0.240474997780496,False,0.240474997780496,0.15249999705702066,-0.10458297893052536;0.004761536668003678,0.00962499976388255,0.6866261505770977,11.021020909973654,0.06312631046430778,False,0.10587499740270809,0.09624999763882554,0.0,0.0
1,1786853068.2963092,-1.6346691722630422,0.0,0.0,0.42742771697220616,-0.38958829111301835,290.5120290455226,0.5633061744865298,0.17572010826916876,0.1581480974422519,0.15,True,0.006538676689052169,True,0.0,0.0,0.0,0.0,0.3146867741313041,0.3146867741313041,False,0.3146867741313041,0.15379999967990443,-0.11834182412473482;-0.004416364142245913,0.016346691722630424,1.011766506081467,6.084669673400217,0.13965924951651673,False,0.19206679999179918,0.17572010826916876,0.0,0.15050125122070312
2,1786853068.4463642,-2.034426470098486,0.0,0.0,0.638724966882649,-0.6725976326458869,290.37153755916165,0.7366212091334355,0.2363413753768542,0.21270723783916878,0.15,True,0.008137705880393946,True,0.0,0.0,0.0,0.0,0.3708449437195627,0.3708449437195627,False,0.3708449437195627,0.1464000015403144,-0.13086301974185457;-0.016481560885071682,0.020344264700984854,0.854697619946352,4.262235530106418,0.13183179313947443,False,0.25668564007783906,0.2363413753768542,0.0,0.3005561828613281
3,1786853068.5969026,-2.4232994326028603,0.0,0.0,0.7420616642622639,-1.0568058800083742,290.2164425439615,0.7936890982855529,0.3006387206040614,0.27057484854365527,0.15,True,0.009693197730411442,True,0.0,0.0,0.0,0.0,0.4302680462740667,0.4302680462740667,False,0.4302680462740667,0.17270000535063446,-0.14237991172270126;-0.030310336687253248,0.0242329943260286,0.7426443056265262,3.1701905794734233,0.12362739350074443,False,0.32487171493009,0.3006387206040614,0.0,0.4510946273803711
4,1786853068.7472885,-3.1650474734260565,0.0,0.0,0.9609184017505543,-1.949786097253923,290.0053102664101,1.062054424391847,0.42032884317730734,0.3782959588595766,0.15,True,0.012660189893704226,True,0.0,0.0,0.0,0.0,0.5409561487532808,0.5409561487532808,False,0.5409561487532808,0.14450000162469223,-0.15446452608857753;-0.04835066980321689,0.03165047473426058,0.6860514966336945,2.035149365989717,0.1341561311906975,False,0.4519793179115679,0.42032884317730734,0.0,0.6014804840087891
5,1786853068.8975215,-3.7631001146736605,0.0,0.0,1.080490168590681,-2.4862549958262727,289.6943216090028,1.1390754895256177,0.5329148060337218,0.4796233254303496,0.15,True,0.015052400458694642,True,0.0,0.0,0.0,0.0,0.6446757258890442,0.6446757258890442,False,0.6446757258890442,0.1405000002705492,-0.16468046111343174;-0.06564549264137576,0.037631001146736565,0.5337811119838003,1.4917494559551154,0.11330362296501391,False,0.5705458071804583,0.5329148060337218,0.0,0.7517135143280029
6,1786853069.0478582,-4.9032801662783445,0.0,0.0,1.1455091926506957,-3.858775366155419,289.355721821053,1.1807147666798703,0.7418289461096863,0.6676460514987177,0.15,True,0.0,False,0.0,0.0,0.0,0.0,0.8176460514987177,0.8176460514987177,False,0.8176460514987177,0.14089999604038894,-0.17485402182268972;-0.08601929511336677,0.049032801662783454,0.4644368653758804,1.0285133679692045,0.11686232457296691,False,0.7908617477724698,0.7418289461096863,0.0,0.902050256729126
7,1786853069.1984072,-6.397543447310657,0.0,0.0,1.551919938945773,-5.504788602656716,288.8389494824629,1.7334362510756887,1.0326169064342965,0.9293552157908669,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.0793552157908668,1.0,False,1.0,0.14679999731015414,-0.18433392085069777;-0.10810682447583014,0.0639754344731065,0.3757061060496665,0.727324237176828,0.112477234922687,False,1.096592340907403,1.0326169064342965,0.0,1.0525991916656494
8,1786853069.3489134,-7.320633558128884,0.0,0.0,1.8943190150308002,-6.183090211954622,288.20273757112545,2.0484017542135513,1.2413342624052617,1.1172008361647356,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.2672008361647356,1.0,False,1.0,0.16589999722782522,-0.19188693252292074;-0.1274360769419981,0.07320633558128886,0.28348013209806305,0.6076426528954487,0.09009183379122589,False,1.3145405979865505,1.2413342624052617,0.0,1.2031054496765137
9,1786853069.4994226,-7.522098140331778,0.0,0.0,1.9703898103607822,-6.075286710465228,287.57495096136734,2.010331857791371,1.3159562613426332,1.18436063520837,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.33436063520837,1.0,False,1.0,0.1419000036548823,-0.19742080400258108;-0.14199356084782805,0.07522098140331779,0.20704099028253614,0.5726606656619659,0.0640420394706765,False,1.391177242745951,1.3159562613426332,0.0,1.3536145687103271
10,1786853069.6498916,-7.6717946724086445,0.0,0.0,2.1070264502768317,-6.202796935345227,286.9469371435779,2.172925288244307,1.3725783115218047,1.2353204803696243,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.3853204803696242,1.0,False,1.0,0.13649999891640618,-0.2018543049892279;-0.15398847654082262,0.07671794672408638,0.1666890112921145,0.5638312793025493,0.050369406974784856,False,1.449296258245891,1.3725783115218047,0.0,1.5040836334228516
11,1786853069.8003957,-7.745862462840746,0.0,0.0,2.016307511352572,-6.244452407929572,286.29914795684397,1.9847682441027719,1.4095472074380453,1.2685924866942409,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.4185924866942408,1.0,False,1.0,0.14000000373926014,-0.2055373354967069;-0.1641314453503676,0.07745862462840747,0.13931239703405512,0.5680583703322347,0.041025551540825766,True,1.4870058320664528,1.4095472074380453,0.0,1.654587745666504
12,1786853069.9508927,-7.5919013838776825,0.0,0.0,1.8682901044454132,-5.992764670654295,285.70615852276103,1.8121943509172276,1.396287736445613,1.2566589628010518,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.4066589628010517,1.0,False,1.0,0.13749999925494194,-0.20844008857969534;-0.17172903680756388,0.07591901383877686,0.10713029546380493,0.5837836610274467,0.030115185368921115,True,1.4722067502843899,1.396287736445613,0.0,1.8050847053527832
13,1786853070.1013846,-8.292424290060792,0.0,0.0,2.0384171138485088,-7.059494999042907,285.118412243128,2.118668967310432,1.556744616753125,1.4010701550778124,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.5510701550778123,1.0,False,1.0,0.1401999979862012,-0.21188095318682693;-0.18288130129355482,0.08292424290060785,0.14074307986354753,0.5894476399047275,0.04169838669508513,True,1.6396688596537328,1.556744616753125,0.0,1.9555766582489014
14,1786853070.2518938,-8.357072398152413,0.0,0.0,2.037278614588231,-6.851625336523888,284.54022573991824,2.0441309643372803,1.5878231642783,1.4290408478504701,0.15,True,0.0,False,0.0,0.0,0.0,0.0,1.57904084785047,1.0,False,1.0,0.13580000086221844,-0.21492843293281047;-0.1929247439978622,0.08357072398152421,0.1255895801570996,0.6011283702499318,0.03634024153720549,True,1.6713938882598243,1.5878231642783,0.0,2.106085777282715
