step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786854597.6247237,3.953771429939028,0.0,0.0,-1.0754315288981506,5.399553038329196,173.37109675747536,-1.0782247809379515,-0.35,-0.315,-0.004744525715926834,False,-0.015815085719756112,True,0.0,0.0,0.0,0.0,-0.3355596114356829,-0.3355596114356829,False,-0.3355596114356829,0.05989999772282317,-3.953771429939028,-1.976885714969514,-0.029653285724542712,-0.36901866679430934,-0.5930657144908542,-0.35,0.0,0.0
1,1786854597.7762969,3.207337490203763,0.0,0.0,-0.8778187703787483,4.333218838707388,173.7471260612675,-0.7959208401959481,-0.35,-0.315,-0.00859333070417135,False,-0.012829349960815051,True,0.0,0.0,0.0,0.0,-0.3364226806649864,-0.3364226806649864,False,-0.3364226806649864,0.07280000136233866,-3.207337490203763,-1.6036687451018814,-0.05370831690107093,-0.04103843232966803,-1.0741663380214186,-0.35,0.0,0.15157318115234375
2,1786854597.9267905,2.947977598059998,0.0,0.0,-0.7780784337111029,4.282604966959981,174.09327452503453,-0.7381258271790556,-0.35,-0.315,-0.012130903821843347,False,-0.011791910392239991,True,0.0,0.0,0.0,0.0,-0.3389228142140833,-0.3389228142140833,False,-0.3389228142140833,0.07470000127796084,-2.947977598059998,-1.473988799029999,-0.07581814888652091,0.011895393567850989,-1.5163629777304182,-0.35,0.0,0.3020668029785156
3,1786854598.0772152,2.7874286793892677,0.0,0.0,-0.7664944747896101,4.164403608349123,174.5163344507084,-0.7643231730059141,-0.35,-0.315,-0.015475818237110469,False,-0.01114971471755707,True,0.0,0.0,0.0,0.0,-0.3416255329546675,-0.3416255329546675,False,-0.3416255329546675,0.07320000440813601,-2.7874286793892677,-1.3937143396946339,-0.09672386398194043,0.01855318381295677,-1.9344772796388083,-0.35,0.0,0.45249152183532715
4,1786854598.2277107,3.010495874047299,0.0,0.0,-0.7203747301784442,4.551877708719481,174.98057030869077,-0.7034023773848884,-0.35,-0.315,-0.019088413285967228,False,-0.012041983496189197,True,0.0,0.0,0.0,0.0,-0.3461303967821564,-0.3461303967821564,False,-0.3461303967821564,0.07309999637072906,-3.010495874047299,-1.5052479370236496,-0.11930258303729516,-0.015253649690862568,-2.386051660745903,-0.35,0.0,0.6029870510101318
5,1786854598.3782218,2.7692732697802662,0.0,0.0,-0.5492123680902631,4.111673762055991,175.38747289660114,-0.4786503220922721,-0.35,-0.315,-0.022411541209703546,False,-0.011077093079121065,True,0.0,0.0,0.0,0.0,-0.34848863428882465,-0.34848863428882465,False,-0.34848863428882465,0.07449999975506216,-2.7692732697802662,-1.3846366348901331,-0.14007213256064716,0.017938014824330967,-2.801442651212943,-0.35,0.0,0.7534980773925781
6,1786854598.52828,2.8524027086498673,0.0,0.0,-0.7509338512700937,4.333811219412722,175.7827629220069,-0.840179167529822,-0.35,-0.315,-0.025834424460083386,False,-0.01140961083459947,True,0.0,0.0,0.0,0.0,-0.35224403529468284,-0.35224403529468284,False,-0.35224403529468284,0.07510000432375818,-2.8524027086498673,-1.4262013543249337,-0.16146515287552116,-0.002377343180530147,-3.229303057510423,-0.35,0.0,0.9035563468933105
7,1786854598.6786938,2.850258837501143,0.0,0.0,-0.7035653129918881,4.295121643970429,176.15271975582513,-0.686057762912458,-0.35,-0.315,-0.029254735065084757,False,-0.01140103535000457,True,0.0,0.0,0.0,0.0,-0.35565577041508933,-0.35565577041508933,False,-0.35565577041508933,0.07300000288523734,-2.850258837501143,-1.4251294187505714,-0.18284209415677974,-0.0005131083136114246,-3.6568418831355944,-0.35,0.0,1.0539700984954834
8,1786854598.829195,2.825293552748157,0.0,0.0,-0.667552738778376,4.260375753387045,176.60316979382148,-0.6549120304409575,-0.35,-0.315,-0.03264508732838255,False,-0.011301174210992629,True,0.0,0.0,0.0,0.0,-0.3589462615393752,-0.3589462615393752,False,-0.3589462615393752,0.07239999831654131,-2.825293552748157,-1.4126467763740784,-0.20403179580239092,0.0021761607495285975,-4.080635916047818,-0.35,0.0,1.2044713497161865
9,1786854598.9797142,3.011893783977693,0.0,0.0,-0.6871493900450656,4.537646920037663,177.01288541159377,-0.6983412069134478,-0.35,-0.315,-0.03625935986915578,False,-0.012047575135910774,True,0.0,0.0,0.0,0.0,-0.36330693500506656,-0.36330693500506656,False,-0.36330693500506656,0.07370000093942508,-3.011893783977693,-1.5059468919888466,-0.2266209991822236,-0.016763173356564808,-4.532419983644472,-0.35,0.0,1.3549904823303223
10,1786854599.1301947,2.484656530265946,0.0,0.0,-0.7400679809373865,3.7044793156367937,177.48572061348585,-0.7655406290738964,-0.35,-0.315,-0.03924094770547491,False,-0.009938626121063785,True,0.0,0.0,0.0,0.0,-0.3641795738265387,-0.3641795738265387,False,-0.3641795738265387,0.07539999933214858,-2.484656530265946,-1.242328265132973,-0.24525592315921818,0.044179858339460296,-4.905118463184364,-0.35,0.0,1.5054709911346436
11,1786854599.2806737,3.20868943761913,0.0,0.0,-0.6928077691388487,4.964770863446376,177.92127318458853,-0.675346644693562,-0.35,-0.315,-0.04309137503061787,False,-0.01283475775047652,True,0.0,0.0,0.0,0.0,-0.37092613278109443,-0.37092613278109443,False,-0.37092613278109443,0.07409999670926481,-3.20868943761913,-1.604344718809565,-0.25,-0.05432244718445908,-5.0,-0.35,0.0,1.6559500694274902
12,1786854599.4311962,3.158147175877852,0.0,0.0,-0.6008059445804415,4.582267814950329,178.3618799363672,-0.5641698432380677,-0.35,-0.315,-0.046881151641671295,False,-0.012632588703511407,True,0.0,0.0,0.0,0.0,-0.3745137403451827,-0.3745137403451827,False,-0.3745137403451827,0.07680000271648169,-3.158147175877852,-1.579073587938926,-0.25,-0.011579456392818438,-5.0,-0.35,0.0,1.8064725399017334
13,1786854599.5814192,3.0499934773521407,0.0,0.0,-0.7302227864815145,4.4494235006598615,178.8227780895893,-0.788480399336061,-0.35,-0.315,-0.050541143814493865,False,-0.012199973909408563,True,0.0,0.0,0.0,0.0,-0.37774111772390245,-0.37774111772390245,False,-0.37774111772390245,0.07230000483104959,-3.0499934773521407,-1.5249967386760703,-0.25,0.006620508277887517,-5.0,-0.35,0.0,1.956695556640625
14,1786854599.7315993,3.045244738369112,0.0,0.0,-0.7705586298986433,4.488991172909411,179.30453369339733,-0.7906386719743567,-0.35,-0.315,-0.0541954375005368,False,-0.012180978953476447,True,0.0,0.0,0.0,0.0,-0.38137641645401327,-0.38137641645401327,False,-0.38137641645401327,0.07449999975506216,-3.045244738369112,-1.522622369184556,-0.25,0.0024293681217822712,-5.0,-0.35,0.0,2.1068756580352783
15,1786854599.88164,3.0613828288702254,0.0,0.0,-0.8628992770720265,4.514080761760871,179.77396246477835,-0.9052670921861345,-0.35,-0.315,-0.05786909689518107,False,-0.012245531315480902,True,0.0,0.0,0.0,0.0,-0.38511462821066195,-0.38511462821066195,False,-0.38511462821066195,0.07589999586343765,-3.0613828288702254,-1.5306914144351127,-0.25,-0.0007774113435692432,-5.0,-0.35,0.0,2.2569162845611572
16,1786854600.0319788,2.9197502959115225,0.0,0.0,-0.7596492771835386,4.304832247319389,180.27081464318584,-0.7181925292711303,-0.35,-0.315,-0.0613727972502749,False,-0.01167900118364609,True,0.0,0.0,0.0,0.0,-0.38805179843392096,-0.38805179843392096,False,-0.38805179843392096,0.0788000033935532,-2.9197502959115225,-1.4598751479557612,-0.25,0.012985813006408166,-5.0,-0.35,0.0,2.407255172729492
17,1786854600.1822762,3.1485990067369047,0.0,0.0,-0.6403782768195697,4.692458634052237,180.7113907088927,-0.5920553858462411,-0.35,-0.315,-0.06515111605835919,False,-0.012594396026947619,True,0.0,0.0,0.0,0.0,-0.3927455120853068,-0.3927455120853068,False,-0.3927455120853068,0.07409999670926481,-3.1485990067369047,-1.5742995033684524,-0.25,-0.017463469108446563,-5.0,-0.35,0.0,2.5575525760650635
18,1786854600.3327625,3.279080083650812,0.0,0.0,-0.7568692779083939,4.780782153575512,181.16511460947044,-0.8095872447005479,-0.35,-0.315,-0.06908601215874016,False,-0.013116320334603249,True,0.0,0.0,0.0,0.0,-0.3972023324933434,-0.3972023324933434,False,-0.3972023324933434,0.07329999789362773,-3.279080083650812,-1.639540041825406,-0.25,-0.017417274577831984,-5.0,-0.35,0.0,2.708038806915283
19,1786854600.4832547,3.3446354115272774,0.0,0.0,-0.7587335949454374,4.8185121604359304,181.601654439762,-0.7623258400011141,-0.35,-0.315,-0.0730995746525729,False,-0.01337854164610911,True,0.0,0.0,0.0,0.0,-0.401478116298682,-0.401478116298682,False,-0.401478116298682,0.07989999721758068,-3.3446354115272774,-1.6723177057636387,-0.25,-0.011343679641819695,-5.0,-0.35,0.0,2.8585309982299805
20,1786854600.6338549,3.0495466366398922,0.0,0.0,-0.830229983893077,4.3688616272211815,182.02293988089934,-0.8636645454818663,-0.35,-0.315,-0.07675903061654077,False,-0.01219818654655957,True,0.0,0.0,0.0,0.0,-0.40395721716310035,-0.40395721716310035,False,-0.40395721716310035,0.07380000170087442,-3.0495466366398922,-1.5247733183199461,-0.25,0.024138515096943373,-5.0,-0.35,0.0,3.0091311931610107
21,1786854600.7842646,5.546723380130251,0.0,0.0,-0.8466000519276105,8.06272359287343,182.78548683772175,-0.8564090474107828,-0.35,-0.315,-0.08341509867269707,False,-0.022186893520521004,True,0.0,0.0,0.0,0.0,-0.4206019921932181,-0.4206019921932181,False,-0.4206019921932181,0.072900002123788,-5.546723380130251,-2.7733616900651255,-0.25,-0.22582827486335044,-5.0,-0.35,0.0,3.159540891647339
22,1786854600.9344351,5.855442248345634,0.0,0.0,-0.8271525037680967,7.433531943113824,183.53263585872944,-0.8216110923109632,-0.35,-0.315,-0.09044162937071183,False,-0.023421768993382535,True,0.0,0.0,0.0,0.0,-0.4288633983640944,-0.4288633983640944,False,-0.4288633983640944,0.07280000136233866,-5.855442248345634,-2.927721124172817,-0.25,-0.09656224349244089,-5.0,-0.35,0.0,3.309711456298828
23,1786854601.0847542,5.7613299296336455,0.0,0.0,-0.931490739778564,7.166777687147247,184.33825259772883,-0.9790003786799937,-0.35,-0.315,-0.0973552252862722,False,-0.023045319718534584,True,0.0,0.0,0.0,0.0,-0.4354005450048068,-0.4354005450048068,False,-0.4354005450048068,0.07329999789362773,-5.7613299296336455,-2.8806649648168228,-0.25,-0.02018485663461335,-5.0,-0.35,0.0,3.4600305557250977
24,1786854601.2352386,6.232843432689212,0.0,0.0,-0.8320301209702825,7.880702256674623,185.18868271968094,-0.79219739352082,-0.35,-0.315,-0.10483463740549925,False,-0.02493137373075685,True,0.0,0.0,0.0,0.0,-0.44476601113625613,-0.44476601113625613,False,-0.44476601113625613,0.07870000263210386,-6.232843432689212,-3.116421716344606,-0.25,-0.050063383942236916,-5.0,-0.35,0.0,3.6105148792266846
25,1786854601.3857646,7.043409916632511,0.0,0.0,-0.9289943904744656,8.836577160998377,186.01383846467084,-0.9733437580160592,-0.35,-0.315,-0.11328672930545827,False,-0.028173639666530043,True,0.0,0.0,0.0,0.0,-0.45646036897198833,-0.45646036897198833,False,-0.45646036897198833,0.07390000246232376,-7.043409916632511,-3.5217049583162554,-0.25,-0.09067188701737892,-5.0,-0.35,0.0,3.7610409259796143
26,1786854601.536224,6.885705370547516,0.0,0.0,-0.9015805213727079,8.26389931632983,186.81468523747665,-0.8926249723688985,-0.35,-0.315,-0.1215495757501153,False,-0.027542821482190064,True,0.0,0.0,0.0,0.0,-0.4640923972323054,-0.4640923972323054,False,-0.4640923972323054,0.07200000254670158,-6.885705370547516,-3.442852685273758,-0.25,-0.012482475137280822,-5.0,-0.35,0.0,3.9115002155303955
27,1786854601.68631,6.946428782028906,0.0,0.0,-0.963727010732771,8.418234709625384,187.59856172054867,-0.9931544724983132,-0.35,-0.315,-0.12988529028854998,False,-0.027785715128115625,True,0.0,0.0,0.0,0.0,-0.47267100541666557,-0.47267100541666557,False,-0.47267100541666557,0.07380000170087442,-6.946428782028906,-3.473214391014453,-0.25,-0.009412260946113953,-5.0,-0.35,0.0,4.061586380004883
28,1786854601.8367236,6.819258681091116,0.0,0.0,-0.9529107316344341,8.210538817650804,188.4348482702163,-0.9510684354892336,-0.35,-0.315,-0.13806840070585932,False,-0.027277034724364466,True,0.0,0.0,0.0,0.0,-0.4803454354302238,-0.4803454354302238,False,-0.4803454354302238,0.07429999823216349,-6.819258681091116,-3.409629340545558,-0.25,0.009045531137026145,-5.0,-0.35,0.0,4.211999893188477
29,1786854601.987227,6.94146198913586,0.0,0.0,-0.9497086471108536,8.439616443830918,189.2734922259007,-0.9511295772119772,-0.35,-0.315,-0.14639815509282236,False,-0.027765847956543438,True,0.0,0.0,0.0,0.0,-0.4891640030493658,-0.4891640030493658,False,-0.4891640030493658,0.07449999975506216,-6.94146198913586,-3.47073099456793,-0.25,-0.008691982743068202,-5.0,-0.35,0.0,4.362503290176392
