step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786854605.7480536,3.814419452618104,0.0,0.0,-1.0375617098491499,5.260201061008272,210.12509077804415,-1.0403549618889507,-0.35,-0.315,-0.004577303343141725,False,-0.015257677810472416,True,0.0,0.0,0.0,0.0,-0.33483498115361415,-0.33483498115361415,False,-0.33483498115361415,0.06169999687699601,-3.814419452618104,-1.907209726309052,-0.02860814589463578,-0.3560124822443564,-0.5721629178927156,-0.35,0.0,0.0
1,1786854605.8987832,3.298149592934158,0.0,0.0,-0.7884924524780759,4.522672690031207,210.51960297952022,-0.6845417370731308,-0.35,-0.315,-0.008535082854662715,False,-0.013192598371736633,True,0.0,0.0,0.0,0.0,-0.33672768122639934,-0.33672768122639934,False,-0.33672768122639934,0.07709999772487208,-3.298149592934158,-1.649074796467079,-0.05334426784164197,-0.058618557769471974,-1.0668853568328394,-0.35,0.0,0.15072965621948242
2,1786854606.049221,2.7744252459573904,0.0,0.0,-0.6115304854879968,3.9957535627860867,210.94158593715215,-0.5384828945320496,-0.35,-0.315,-0.011864393149811584,False,-0.011097700983829561,True,0.0,0.0,0.0,0.0,-0.33796209413364114,-0.33796209413364114,False,-0.33796209413364114,0.07329999789362773,-2.7744252459573904,-1.3872126229786952,-0.07415245718632239,0.03129537172032341,-1.483049143726448,-0.35,0.0,0.30116748809814453
3,1786854606.1996963,2.5802713335290233,0.0,0.0,-0.6725469562196933,3.942844122307034,211.29896331421085,-0.701490124287364,-0.35,-0.315,-0.014960718750046412,False,-0.010321085334116093,True,0.0,0.0,0.0,0.0,-0.3402818040841625,-0.3402818040841625,False,-0.3402818040841625,0.07370000093942508,-2.5802713335290233,-1.2901356667645116,-0.09350449218779007,0.027509643342744618,-1.8700898437558013,-0.35,0.0,0.4516427516937256
4,1786854606.3501923,2.418887200561584,0.0,0.0,-0.7797537681433696,3.7955041805371352,211.75982540552607,-0.828492796721889,-0.35,-0.315,-0.017863383390720314,False,-0.009675548802246336,True,0.0,0.0,0.0,0.0,-0.34253893219296666,-0.34253893219296666,False,-0.34253893219296666,0.07399999594781548,-2.418887200561584,-1.209443600280792,-0.11164614619200196,0.02331541207978438,-2.232922923840039,-0.35,0.0,0.6021387577056885
5,1786854606.50048,2.2719537786437605,0.0,0.0,-0.6025168178565067,3.6547639204977185,212.21230543121126,-0.5293513769162235,-0.35,-0.315,-0.020589727925092827,False,-0.009087815114575041,True,0.0,0.0,0.0,0.0,-0.34467754303966786,-0.34467754303966786,False,-0.34467754303966786,0.08939999679569155,-2.2719537786437605,-1.1359768893218802,-0.12868579953183015,0.020708409669598846,-2.573715990636603,-0.35,0.0,0.7524263858795166
6,1786854606.6506934,2.647975979817819,0.0,0.0,-0.6649669692428423,4.254909960139726,212.5987504891482,-0.694524571876787,-0.35,-0.315,-0.02376729910087421,False,-0.010591903919271277,True,0.0,0.0,0.0,0.0,-0.3493592030201455,-0.3493592030201455,False,-0.3493592030201455,0.07529999857069924,-2.647975979817819,-1.3239879899089095,-0.1485456193804638,-0.028882882542032483,-2.9709123876092756,-0.35,0.0,0.9026398658752441
7,1786854606.8011713,2.7425066537697047,0.0,0.0,-0.5584760054997076,4.228801408139252,213.0376342145616,-0.515630273078165,-0.35,-0.315,-0.027058307085397856,False,-0.010970026615078819,True,0.0,0.0,0.0,0.0,-0.3530283337004767,-0.3530283337004767,False,-0.3530283337004767,0.07339999865507707,-2.7425066537697047,-1.3712533268848524,-0.16911441928373658,-0.01748772766478574,-3.3822883856747312,-0.35,0.0,1.0531177520751953
8,1786854606.951643,2.5015039069460716,0.0,0.0,-0.7781397652824524,3.8439986238403967,213.4086343384467,-0.8750746286577153,-0.35,-0.315,-0.03006011177373314,False,-0.010006015627784286,True,0.0,0.0,0.0,0.0,-0.35506612740151744,-0.35506612740151744,False,-0.35506612740151744,0.07220000406960025,-2.5015039069460716,-1.2507519534730358,-0.1878756985858321,0.017247271404103367,-3.757513971716642,-0.35,0.0,1.2035894393920898
9,1786854607.1016932,2.8403897290621085,0.0,0.0,-0.6688629791421054,4.431408118359149,213.86205274144766,-0.6248233228360432,-0.35,-0.315,-0.03346857944860767,False,-0.011361558916248434,True,0.0,0.0,0.0,0.0,-0.3598301383648561,-0.3598301383648561,False,-0.3598301383648561,0.0714999987394549,-2.8403897290621085,-1.4201948645310543,-0.20917862155379796,-0.026455161976265767,-4.183572431075959,-0.35,0.0,1.3536396026611328
