step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786853036.993255,-0.5927473345783433,0.0,0.0,0.07634534739335526,0.9404060590894464,321.4159238651447,0.0836856253968091,0.35,0.315,0.15,True,0.002370989338313373,True,0.0,0.0,0.0,0.0,0.46737098933831334,0.46737098933831334,False,0.46737098933831334,0.059300000430084765,0.5927473345783433,0.29637366728917164,0.004445605009337574,0.05532308456064537,0.08891210018675148,0.35,0.0,0.0
1,1786853037.1453192,-2.856535779663636,0.0,0.0,0.8410400798202742,-2.2935774338895434,321.18310124003796,1.1761066717209792,0.35,0.315,0.15,True,0.011426143118654544,True,0.0,0.0,0.0,0.0,0.4764261431186545,0.4764261431186545,False,0.4764261431186545,0.07639999967068434,2.856535779663636,1.428267889831818,0.025869623356814843,0.22788384690948757,0.5173924671362968,0.35,0.0,0.15206432342529297
2,1786853037.2957711,-3.486219159294469,0.0,0.0,0.8424577618684306,-2.2229300711827507,320.9488197845882,0.850405617892523,0.35,0.315,0.15,True,0.013944876637177877,True,0.0,0.0,0.0,0.0,0.47894487663717783,0.47894487663717783,False,0.47894487663717783,0.07390000246232376,3.486219159294469,1.7431095796472345,0.05201626705152336,0.1271356028383907,1.0403253410304671,0.35,0.0,0.30251622200012207
3,1786853037.4459548,-3.552899980866902,0.0,0.0,0.8154335076097501,-2.048324082158727,320.7084597205018,0.8111919623594837,0.35,0.315,0.15,True,0.014211599923467608,True,0.0,0.0,0.0,0.0,0.47921159992346757,0.47921159992346757,False,0.47921159992346757,0.07199999527074397,3.552899980866902,1.776449990433451,0.07866301690802513,0.044364224198277624,1.5732603381605024,0.35,0.0,0.4526998996734619
4,1786853037.5963497,-3.7937883715252103,0.0,0.0,0.6672576860242563,-2.3638728595681244,320.45924983331287,0.6110940404910701,0.35,0.315,0.15,True,0.015175153486100842,True,0.0,0.0,0.0,0.0,0.4801751534861008,0.4801751534861008,False,0.4801751534861008,0.07840000034775585,3.7937883715252103,1.8968941857626052,0.10711642969446421,0.0357921837209254,2.142328593889284,0.35,0.0,0.6030948162078857
5,1786853037.7468364,-4.084560052266253,0.0,0.0,1.0002978762956984,-2.676023093201769,320.25256975632624,1.1503696644154848,0.35,0.315,0.15,True,0.016338240209065012,True,0.0,0.0,0.0,0.0,0.48133824020906496,0.48133824020906496,False,0.48133824020906496,0.07470000127796084,4.084560052266253,2.0422800261331266,0.1377506300864611,0.037876345318774964,2.755012601729222,0.35,0.0,0.7535815238952637
6,1786853037.897277,-4.105483776380512,0.0,0.0,0.9294316581291995,-2.581297693047406,320.01564712294095,0.9064006997755822,0.35,0.315,0.15,True,0.016421935105522048,True,0.0,0.0,0.0,0.0,0.481421935105522,0.481421935105522,False,0.481421935105522,0.07760000153211877,4.105483776380512,2.052741888190256,0.16854175840931496,0.013315784512963332,3.3708351681862987,0.35,0.0,0.904022216796875
7,1786853038.0478022,-3.7215368888569467,0.0,0.0,0.9061740561939343,-2.023834829107629,319.7833292104083,0.903546790510846,0.35,0.315,0.15,True,0.014886147555427788,True,0.0,0.0,0.0,0.0,0.47988614755542774,0.47988614755542774,False,0.47988614755542774,0.07719999848632142,3.7215368888569467,1.8607684444284733,0.19645328507574203,-0.0318403074816438,3.9290657015148405,0.35,0.0,1.0545473098754883
8,1786853038.1982646,-3.6801255681532736,0.0,0.0,0.9145267372285051,-2.1292244656124817,319.6005996575225,0.9254467356753464,0.35,0.315,0.15,True,0.014720502272613095,True,0.0,0.0,0.0,0.0,0.4797205022726131,0.4797205022726131,False,0.4797205022726131,0.07750000077066943,3.6801255681532736,1.8400627840766368,0.22405422683689158,-0.013417148843502622,4.481084536737831,0.35,0.0,1.2050096988677979
9,1786853038.348504,-4.301326612723261,0.0,0.0,1.059918279309675,-3.034402238156895,319.4236115101559,1.129569218205059,0.35,0.315,0.15,True,0.017205306450893045,True,0.0,0.0,0.0,0.0,0.482205306450893,0.482205306450893,False,0.482205306450893,0.07490000280085951,4.301326612723261,2.1506633063616305,0.25,0.0539536195068147,5.0,0.35,0.0,1.3552491664886475
