step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,pid_error,pid_P,pid_I,pid_D,pid_integral,pid_model_raw,pid_static_bias,elapsed_s
0,1786853053.2431598,-4.113168628731881,0.0,0.0,1.0009196357872174,-2.580015235064091,296.344617519437,1.0082599137906714,0.35,0.315,0.15,True,0.016452674514927525,True,0.0,0.0,0.0,0.0,0.4814526745149275,0.4814526745149275,False,0.4814526745149275,0.05450000026030466,4.113168628731881,2.0565843143659404,0.030848764715489103,0.38389573868164223,0.616975294309782,0.35,0.0,0.0
1,1786853053.3946223,-4.088449351738008,0.0,0.0,0.7848964436806324,-2.5447019822157024,296.08682493038964,0.6996553536384069,0.35,0.315,0.15,True,0.016353797406952034,True,0.0,0.0,0.0,0.0,0.481353797406952,0.481353797406952,False,0.481353797406952,0.07020000339252874,4.088449351738008,2.044224675869004,0.061512134853524164,0.11286158908506456,1.2302426970704832,0.35,0.0,0.15146255493164062
2,1786853053.5450804,-4.4324537882929524,0.0,0.0,0.8030796903491633,-3.046730867434425,295.8324221160867,0.818212788353416,0.35,0.315,0.15,True,0.01772981515317181,True,0.0,0.0,0.0,0.0,0.48272981515317176,0.48272981515317176,False,0.48272981515317176,0.07090000144671649,4.4324537882929524,2.2162268941464762,0.0947555382657213,0.06596555747064749,1.895110765314426,0.35,0.0,0.30192065238952637
3,1786853053.6951697,-4.1235752857927634,0.0,0.0,0.9039566605869667,-2.4580453910534645,295.5519319971487,0.9545299258351935,0.35,0.315,0.15,True,0.016494301143171054,True,0.0,0.0,0.0,0.0,0.48149430114317104,0.48149430114317104,False,0.48149430114317104,0.0703999976394698,4.1235752857927634,2.0617876428963817,0.12568235290916704,-0.009038992992156727,2.5136470581833406,0.35,0.0,0.452009916305542
4,1786853053.84563,-3.726014443367551,0.0,0.0,0.8295215747072135,-2.022477831517528,295.34060136521543,0.8049611016193445,0.35,0.315,0.15,True,0.014904057773470203,True,0.0,0.0,0.0,0.0,0.47990405777347017,0.47990405777347017,False,0.47990405777347017,0.07040000491542742,3.726014443367551,1.8630072216837754,0.15362746123442367,-0.03981737652400019,3.072549224688473,0.35,0.0,0.6024701595306396
5,1786853053.9960895,-3.935683044983752,0.0,0.0,0.8617903630096452,-2.492387623437191,295.1122061050012,0.8829601217141412,0.35,0.315,0.15,True,0.015742732179935007,True,0.0,0.0,0.0,0.0,0.48074273217993496,0.48074273217993496,False,0.48074273217993496,0.07080000068526715,3.935683044983752,1.967841522491876,0.1831450840718018,0.007623856526978707,3.662901681436036,0.35,0.0,0.7529296875
6,1786853054.1466217,-4.00443074590363,0.0,0.0,0.924225348159893,-2.5007406526300735,294.9177961952913,0.9583234769420246,0.35,0.315,0.15,True,0.016017722983614518,True,0.0,0.0,0.0,0.0,0.4810177229836145,0.4810177229836145,False,0.4810177229836145,0.06849999772384763,4.00443074590363,2.002215372951815,0.21317831466607903,0.008703609043948875,4.26356629332158,0.35,0.0,0.9034619331359863
7,1786853054.297059,-3.671252451427357,0.0,0.0,0.94760702315275,-1.9953083601268793,294.74022912389495,0.9649680190102855,0.35,0.315,0.15,True,0.014685009805709427,True,0.0,0.0,0.0,0.0,0.4796850098057094,0.4796850098057094,False,0.4796850098057094,0.072900002123788,3.671252451427357,1.8356262257136784,0.24071270805178419,-0.028485558104600812,4.8142541610356835,0.35,0.0,1.0538992881774902
8,1786853054.4470973,-4.209023446199376,0.0,0.0,0.9215724881688444,-2.9063433360053104,294.56396881010386,0.9177551083220531,0.35,0.315,0.15,True,0.016836093784797505,True,0.0,0.0,0.0,0.0,0.48183609378479747,0.48183609378479747,False,0.48183609378479747,0.07299999560927972,4.209023446199376,2.104511723099688,0.25,0.04164629208067491,5.0,0.35,0.0,1.2039375305175781
9,1786853054.597544,-3.7753803561838986,0.0,0.0,0.9407319752884215,-2.0563799239380476,294.36377439528707,0.9562834620574083,0.35,0.315,0.15,True,0.015101521424735595,True,0.0,0.0,0.0,0.0,0.48010152142473556,0.48010152142473556,False,0.48010152142473556,0.07170000026235357,3.7753803561838986,1.8876901780919493,0.25,-0.027979467443908782,5.0,0.35,0.0,1.354384183883667
10,1786853054.747602,-3.8720551346038876,0.0,0.0,0.9261287516170954,-2.38033378883038,294.1662225095747,0.927210505189981,0.35,0.315,0.15,True,0.01548822053841555,True,0.0,0.0,0.0,0.0,0.4804882205384155,0.4804882205384155,False,0.4804882205384155,0.07360000017797574,3.8720551346038876,1.9360275673019438,0.25,0.0006291390860263446,5.0,0.35,0.0,1.5044422149658203
11,1786853054.8980865,-3.648819346416434,0.0,0.0,0.9022426956923396,-2.019993472096879,293.95784330140464,0.8993460925851838,0.35,0.315,0.15,True,0.014595277385665736,True,0.0,0.0,0.0,0.0,0.4795952773856657,0.4795952773856657,False,0.4795952773856657,0.07289999484783038,3.648819346416434,1.824409673208217,0.25,-0.02064659850502112,5.0,0.35,0.0,1.6549267768859863
