step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786853110.4309862,-5.353081404551826,192.99181212424398,0.0,1.3103424493123723,-3.8199280108840363,192.99181212424398,1.3176827273158263,0.15,0.135,0.15,True,0.021412325618207304,True,-17.046383373451135,0.18652307794816683,-0.1,0.0,0.4929354035663742,0.4929354035663742,False,0.4929354035663742,0.3788999965763651,228.79566493317236,1.0;1.0;1.0;0.7178042766990013;0.162333266343357,0.0;-0.802962210682774;-1.4525245229233734;-1.9693959230114921;-2.371489684087715;-2.686999594967192,-5.353081404551826;-4.33041541493733;-3.4458093339207907;-2.680625073841484;-2.103399405863183;-1.7707405061686463,0.0;-5.353081404551826,192.99181212424398,0.15,0.0,0.0
1,1786853110.5824811,-4.449079534022966,192.77038158012314,0.0,1.084416665001911,-2.5284967672713794,192.77038158012314,0.9949316068723101,0.3,0.27,0.15,True,0.017796318136091862,True,-17.653308029248024,0.18988031889454915,-0.1,0.0,0.627676637030641,0.627676637030641,False,0.627676637030641,0.4352000032668002,167.20638385906386,1.0;1.0;1.0;0.5731888148125613;0.1066748227494214,-0.2214305441208353;-0.8887924742242801;-1.42106054376376;-1.83647242391541;-2.150803700246587;-2.3969067576064904,-4.449079534022966;-3.5484537969298655;-2.7694125343443337;-2.0955418422078487;-1.6406870490660208;-1.3871918506172816,-0.2214305441208353;-4.449079534022966,192.99181212424398,0.3,0.0,0.15149497985839844
2,1786853110.7329743,-4.8681540296205625,192.45977607141236,0.0,1.1762473943679421,-3.5146039912088853,192.45977607141236,1.2229436992425524,0.35,0.315,0.15,True,0.01947261611848225,True,-18.305134843313283,0.19765581052199452,-0.1,0.0,0.6821284266404768,0.6821284266404768,False,0.6821284266404768,0.4712000009021722,228.65878932455135,1.0;1.0;1.0;0.5965648549684225;0.07976428988663081,-0.5320360528316144;-1.2622591572746988;-1.848902142617967;-2.311348324939894;-2.6663642726483605;-2.946607648942605,-4.8681540296205625;-3.910953235621787;-3.082974548812846;-2.366772984723112;-1.868289175294965;-1.5921408496641556,-0.5320360528316144;-4.8681540296205625,192.99181212424398,0.35,0.0,0.3019881248474121
3,1786853110.8834708,-5.598682840208075,192.06101203216932,0.0,1.3838062165811995,-4.378613222506362,192.06101203216932,1.4801002755331925,0.35,0.315,0.15,True,0.0223947313608323,True,-19.048408874146133,0.2,-0.1,0.0,0.6873947313608323,0.6873947313608323,False,0.6873947313608323,0.4482000003918074,346.3469522899324,1.0;1.0;1.0;0.6523895796696393;0.05105367680462662,-0.9308000920746622;-1.7706025181058735;-2.4520316166228713;-2.9964677868400744;-3.4224050740779552;-3.7614832964535885,-5.598682840208075;-4.542860656779985;-3.6295744681146873;-2.8395819149192048;-2.2605214825042204;-1.9400349793247627,-0.9308000920746622;-5.598682840208075,192.99181212424398,0.35,0.0,0.4524846076965332
4,1786853111.0339692,-5.640229275151392,191.59531579947065,0.0,1.4679176966091465,-4.12488149645931,191.59531579947065,1.5113057517674349,0.35,0.315,0.15,True,0.02256091710060557,True,-19.794443265418835,0.2,-0.1,0.0,0.6875609171006056,0.6875609171006056,False,0.6875609171006056,0.43340000411262736,414.04146086837295,1.0;1.0;1.0;0.6087554038567128;-0.007087950242212556,-1.3964963247733237;-2.2425307160460326;-2.9293504644969257;-3.4784495469069485;-3.908420253191618;-4.252950920954305,-5.640229275151392;-4.578798323005954;-3.6606605494001507;-2.8664713752311304;-2.296871118417914;-1.9889199025041595,-1.3964963247733237;-5.640229275151392,192.99181212424398,0.35,0.0,0.6029829978942871
5,1786853111.184434,-5.2471741569356425,191.16108617899377,0.0,1.374888384775995,-3.5455685697468176,191.16108617899377,1.3423589577080983,0.35,0.315,0.15,True,0.02098869662774257,True,-20.481519388959185,0.2,-0.1,0.0,0.6859886966277425,0.6859886966277425,False,0.6859886966277425,0.4270999997970648,433.97255101740353,1.0;1.0;1.0;0.5101694723055001;-0.07439525654108486,-1.830725945250208;-2.6178020687905543;-3.253622915652954;-3.7586079481889296;-4.150420001332549;-4.466379801048031,-5.2471741569356425;-4.238805645749331;-3.3665668835731712;-2.6120803542907933;-2.1063986647698862;-1.8443534219882771,-1.830725945250208;-5.2471741569356425,192.99181212424398,0.35,0.0,0.7534477710723877
6,1786853111.3349516,-5.447813603642933,190.78118688473413,0.0,1.4130253108347206,-4.000648544278269,190.78118688473413,1.4367099857204857,0.35,0.315,0.15,True,0.021791254414571734,True,-21.19869142950563,0.2,-0.1,0.0,0.6867912544145718,0.6867912544145718,False,0.6867912544145718,0.46300000394694507,524.1991016866222,1.0;1.0;1.0;0.49693362153392495;-0.11676859248253017,-2.2106252395098522;-3.027797280056292;-3.6896510951289625;-4.217154645166823;-4.628445215949572;-4.961849546707623,-5.447813603642933;-4.4123587671511375;-3.5166903335857342;-2.7419371385516604;-2.222695538387009;-1.9576622184495218,-2.2106252395098522;-5.447813603642933,192.99181212424398,0.35,0.0,0.9039654731750488
7,1786853111.4853985,-5.427425712135053,190.4252371979911,0.0,1.4461181603187645,-3.885534650678171,190.4252371979911,1.4676410881010946,0.35,0.315,0.15,True,0.02170970284854021,True,-21.91280528632589,0.2,-0.1,0.0,0.6867097028485403,0.6867097028485403,False,0.6867097028485403,0.4493999949772842,589.591853875332,1.0;1.0;1.0;0.4565903215229346;-0.16278975266204637,-2.5665749262528834;-3.380688783073141;-4.0398972692226645;-4.565112609742002;-4.974423879291229;-5.307931562982779,-5.427425712135053;-4.394723240996821;-3.50143560346225;-2.7287417969948464;-2.223384557943662;-1.9720645684198816,-2.5665749262528834;-5.427425712135053,192.99181212424398,0.35,0.0,1.0544123649597168
8,1786853111.6359575,-5.515798296971363,190.04689323327952,0.0,1.3648367256734026,-4.020518868233422,190.04689323327952,1.337342103114559,0.35,0.315,0.15,True,0.022063193187885452,True,-22.640175030871603,0.2,-0.1,0.0,0.6870631931878854,0.6870631931878854,False,0.6870631931878854,0.46570000267820433,680.9580315997141,1.0;1.0;1.0;0.42846474137120655;-0.2083692148027926,-2.944918890964459;-3.7722886355101632;-4.442963464542197;-4.978097191654907;-5.395987865607401;-5.738182385214603,-5.515798296971363;-4.471165526880229;-3.5675581807513983;-2.7859378263499597;-2.281296797381353;-2.035832494175708,-2.944918890964459;-5.515798296971363,192.99181212424398,0.35,0.0,1.2049713134765625
9,1786853111.7864265,-5.182085359172727,189.60450010250065,0.0,1.3972465114691655,-3.5059121350198077,189.60450010250065,1.4184766976708034,0.35,0.315,0.15,True,0.02072834143669091,True,-23.31748783474751,0.2,-0.1,0.0,0.6857283414366908,0.6857283414366908,False,0.6857283414366908,0.4243000003043562,734.3983568520841,1.0;1.0;1.0;0.33697355703909143;-0.2749182479754261,-3.387312021743327;-4.164624825619236;-4.792000400971897;-5.28968027365195;-5.675173363520194;-5.993461076189467,-5.182085359172727;-4.182503835684409;-3.3178658178670144;-2.5699539324549674;-2.1219180844618197;-1.917934617452102,-3.387312021743327;-5.182085359172727,192.99181212424398,0.35,0.0,1.355440378189087
