step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786853118.5577838,-6.27636995077187,171.66978457646985,0.0,1.6176600665742595,-4.7432165571040805,171.66978457646985,1.6250003445777135,0.15,0.135,0.15,True,0.025105479803087482,True,-38.49997953906163,0.2,-0.1,0.0,0.5101054798030875,0.5101054798030875,False,0.5101054798030875,0.4005999944638461,323.03988781620694,1.0;1.0;1.0;0.841609692125789;0.1903321765332643,0.0;-0.9414554926157804;-1.7108144937284306;-2.331310029690873;-2.823038668298386;-3.210511504548224,-6.27636995077187;-5.129060007417667;-4.136636906416283;-3.278190924050085;-2.5831522416655868;-2.177327036080753,0.0;-6.27636995077187,171.66978457646985,0.15,0.0,0.0
1,1786853118.7092965,-4.653193489858089,171.4080640655392,0.0,1.1798955966121782,-2.424393041512965,171.4080640655392,0.9996225303461688,0.3,0.27,0.15,True,0.018612773959432356,True,-39.13142650101369,0.2,-0.1,0.0,0.6386127739594324,0.6386127739594324,False,0.6386127739594324,0.443900004029274,186.80617959168944,1.0;1.0;1.0;0.5963018047922319;0.10772546309696716,-0.26172051093064397;-0.9596995344093573;-1.5184513897184444;-1.9567717445608048;-2.2909188514994465;-2.553122517785721,-4.653193489858089;-3.7250123687272474;-2.922135698949069;-2.227647379590945;-1.7480244419084978;-1.4797235033217604,-0.26172051093064397;-4.653193489858089,171.66978457646985,0.3,0.0,0.15151262283325195
2,1786853118.8597832,-4.7820396095446505,171.05474963594133,0.0,1.198735775659386,-3.304105981456817,171.05474963594133,1.2141504161116432,0.35,0.315,0.15,True,0.019128158438178604,True,-39.76732740840339,0.2,-0.1,0.0,0.6841281584381786,0.6841281584381786,False,0.6841281584381786,0.47560000530211255,228.61034685323293,1.0;1.0;1.0;0.5762480005688169;0.06656599244677522,-0.6150349405285169;-1.3323408819602145;-1.907810521298633;-2.360591759326365;-2.7072475302203527;-2.981173612018056,-4.7820396095446505;-3.836464262256123;-3.0185415868515464;-2.3110384726265876;-1.8261738786513533;-1.559670607299388,-0.6150349405285169;-4.7820396095446505,171.66978457646985,0.35,0.0,0.3019993305206299
3,1786853119.0102756,-5.376734420822086,170.71193927484916,0.0,1.1824071365701552,-4.098450231987484,170.71193927484916,1.1827494263925102,0.35,0.315,0.15,True,0.021506937683288346,True,-40.4738375715267,0.2,-0.1,0.0,0.6865069376832884,0.6865069376832884,False,0.6865069376832884,0.4230999984429218,325.220221301203,1.0;1.0;1.0;0.6197705362550169;0.04087331524433176,-0.9578453016206936;-1.7643554647440065;-2.4169867558456724;-2.9365128226486132;-3.340902870433157;-3.6628105876353114,-5.376734420822086;-4.350875274011105;-3.463507112019606;-2.695933651896959;-2.1460514480143646;-1.8440725079591258,-0.9578453016206936;-5.376734420822086,171.66978457646985,0.35,0.0,0.45249176025390625
4,1786853119.1608021,-5.605704010987343,170.26669596443512,0.0,1.2533253814597436,-4.170680441676092,170.26669596443512,1.291059192987307,0.35,0.315,0.15,True,0.02242281604394937,True,-41.214693173174794,0.2,-0.1,0.0,0.6874228160439493,0.6874228160439493,False,0.6874228160439493,0.48600000445730984,410.87610024617004,1.0;1.0;1.0;0.6034293118242542;-0.008975810016317835,-1.4030886120347361;-2.2439442136828376;-2.9262843091084454;-3.471508491651596;-3.8981274095514213;-4.239998454502679,-5.605704010987343;-4.548933969504052;-3.6348278836210053;-2.8441261193321696;-2.2791402996750505;-1.974149102223814,-1.4030886120347361;-5.605704010987343,171.66978457646985,0.35,0.0,0.6030182838439941
5,1786853119.31132,-5.633997214812025,169.85485541731083,0.0,1.3097374322383346,-4.112969479926243,169.85485541731083,1.3412543034326134,0.35,0.315,0.15,True,0.0225359888592481,True,-41.95979275539659,0.2,-0.1,0.0,0.687535988859248,0.687535988859248,False,0.687535988859248,0.4464999947231263,478.7862790082936,1.0;1.0;1.0;0.5637083490728304;-0.060649822680708544,-1.8149291591590213;-2.660028741380825;-3.346039880002685;-3.8944395149105944;-4.323805199105935;-4.669839640226629,-5.633997214812025;-4.573407590812402;-3.655997566052728;-2.86243789463561;-2.3068962741379537;-2.0136602239335426,-1.8149291591590213;-5.633997214812025,171.66978457646985,0.35,0.0,0.7535362243652344
6,1786853119.4618149,-5.765693253398993,169.4129886865251,0.0,1.4242469993638776,-4.28898101912562,169.4129886865251,1.4806628061354214,0.35,0.315,0.15,True,0.023062773013595973,True,-42.72464674340645,0.2,-0.1,0.0,0.688062773013596,0.688062773013596,False,0.688062773013596,0.45899999531684443,574.7633371048674,1.0;1.0;1.0;0.5346803073997465;-0.11301809082381678,-2.2567958899447547;-3.121649877954604;-3.824748577583123;-4.387928952761793;-4.830079977291342;-5.188479999676413,-5.765693253398993;-4.687324664190129;-3.7545358345244617;-2.9476734968636595;-2.3893334825671415;-2.1006788896677224,-2.2567958899447547;-5.765693253398993,171.66978457646985,0.35,0.0,0.9040310382843018
7,1786853119.6120167,-5.67321000171456,168.9950436541881,0.0,1.3909692657214645,-4.100420928753442,168.9950436541881,1.3840476578781702,0.35,0.315,0.15,True,0.022692840006858242,True,-43.475628243663635,0.2,-0.1,0.0,0.6876928400068583,0.6876928400068583,False,0.6876928400068583,0.5354000022634864,645.290799790036,1.0;1.0;1.0;0.4781192167316509;-0.16913332670280962,-2.6747409222817566;-3.5257224225389407;-4.216821420261405;-4.769622053291336;-5.202794600862227;-5.555973489758123,-5.67321000171456;-4.607326651483095;-3.685337553532877;-2.887816983805939;-2.354525925972642;-2.087404923977178,-2.6747409222817566;-5.67321000171456,171.66978457646985,0.35,0.0,1.0542328357696533
8,1786853119.762081,-5.255477680133623,168.57720314768443,0.0,1.2567850366069653,-3.5432961486454326,168.57720314768443,1.2066177878470623,0.35,0.315,0.15,True,0.021021910720534494,True,-44.163949895683686,0.2,-0.1,0.0,0.6860219107205345,0.6860219107205345,False,0.6860219107205345,0.4941000006510876,677.200319875642,1.0;1.0;1.0;0.37795593967247365;-0.23509847309221424,-3.0925814287854223;-3.880903080805466;-4.517801309802803;-5.0237182778855;-5.416336455277033;-5.738943161435448,-5.255477680133623;-4.2459881933155845;-3.3727797872179806;-2.617454515943553;-2.1507113743894313;-1.9308948807745223,-3.0925814287854223;-5.255477680133623,171.66978457646985,0.35,0.0,1.2042970657348633
9,1786853119.9123344,-5.29814373147353,168.1999261460876,0.0,1.2983914246674875,-3.7832757883799877,168.1999261460876,1.3235630118397368,0.35,0.315,0.15,True,0.02119257492589412,True,-44.85867145540473,0.2,-0.1,0.0,0.6861925749258941,0.6861925749258941,False,0.6861925749258941,0.43449999793665484,770.6736643307204,1.0;1.0;1.0;0.3438142232962255;-0.28192789934702317,-3.46985843038226;-4.2645799901032895;-4.90701413926198;-5.417719678284247;-5.8144799695385085;-6.142205981425114,-5.29814373147353;-4.282894327724604;-3.4047035934817824;-2.645068608361742;-2.1848400792440392;-1.974465038350201,-3.46985843038226;-5.29814373147353,171.66978457646985,0.35,0.0,1.3545506000518799
10,1786853120.0628865,-5.638116718826318,167.793319244265,0.0,1.4009014979571635,-4.250666034024008,167.793319244265,1.4521746645133358,0.35,0.315,0.15,True,0.022552466875305273,True,-45.60438896322867,0.2,-0.1,0.0,0.6875524668753052,0.6875524668753052,False,0.6875524668753052,0.4670999987865798,925.163221399664,1.0;1.0;1.0;0.3464399452853689;-0.3234825864445787,-3.8764653322048446;-4.722182840028792;-5.408728484296507;-5.95759046658808;-6.3873560812702905;-6.743513540432561,-5.638116718826318;-4.576970961784765;-3.6590798819438217;-2.8651040978814057;-2.3743830610818053;-2.1508861237691352,-3.8764653322048446;-5.638116718826318,171.66978457646985,0.35,0.0,1.5051026344299316
11,1786853120.213409,-5.484867829406622,167.40256808976912,0.0,1.4098809889759205,-3.8860363402732494,167.40256808976912,1.4210696202731274,0.35,0.315,0.15,True,0.02193947131762649,True,-46.32711913763967,0.2,-0.1,0.0,0.6869394713176264,0.6869394713176264,False,0.6869394713176264,0.4243000003043562,1007.9068719832313,1.0;1.0;1.0;0.28460397178280034;-0.37797185792897203,-4.2672164867007325;-5.089946661111726;-5.7566082619772345;-6.2882705467259;-6.7031584230334955;-7.04922925730934,-5.484867829406622;-4.444410672436728;-3.5444152316577697;-2.765919175383971;-2.307138895172295;-2.109066701702727,-4.2672164867007325;-5.484867829406622,171.66978457646985,0.35,0.0,1.6556251049041748
12,1786853120.3638668,-5.047033544953188,166.9743601886998,0.0,1.3683687922611574,-3.3262368865196414,166.9743601886998,1.3579181288154274,0.35,0.315,0.15,True,0.020188134179812755,True,-46.98417416938264,0.2,-0.1,0.0,0.6851881341798127,0.6851881341798127,False,0.6851881341798127,0.49620000208960846,1061.9448198333926,1.0;1.0;1.0;0.18064977321063513;-0.4458690055495654,-4.6954243877700605;-5.452479419513039;-6.062332021970715;-6.544854523096604;-6.917236486570499;-7.23121764518094,-5.047033544953188;-4.065684016384508;-3.2168166741725996;-2.482546423159299;-2.093207724069603;-1.9443853829850761,-4.6954243877700605;-5.047033544953188,171.66978457646985,0.35,0.0,1.8060829639434814
13,1786853120.5139685,-5.549153210002046,166.55947184909326,0.0,1.2869876150518045,-4.231193958498054,166.55947184909326,1.2594502456798216,0.35,0.315,0.15,True,0.022196612840008186,True,-47.716547150882946,0.2,-0.1,0.0,0.6871966128400082,0.6871966128400082,False,0.6871966128400082,0.4593999983626418,1274.2741540219895,1.0;1.0;1.0;0.20414302150085417;-0.4835628946898531,-5.110312727376595;-5.942685708876902;-6.617688337874667;-7.156565611957735;-7.577694454039587;-7.932784466472852,-5.549153210002046;-4.50001752665177;-3.592515160553781;-2.8075256138790206;-2.3672667495550965;-2.192754606772114,-5.110312727376595;-5.549153210002046,171.66978457646985,0.35,0.0,1.9561846256256104
14,1786853120.6643765,-5.058670471066721,166.1772032302597,0.0,1.2533285585518876,-3.315310189283792,166.1772032302597,1.2462435266268057,0.35,0.315,0.15,True,0.020234681884266883,True,-48.375347721542965,0.2,-0.1,0.0,0.6852346818842668,0.6852346818842668,False,0.6852346818842668,0.4501000003074296,1315.4582996323609,1.0;1.0;1.0;0.09798301701562075;-0.5471968668162801,-5.492581346210159;-6.251381916870167;-6.862744410491073;-7.346572967473158;-7.720084669262661;-8.038763055544878,-5.058670471066721;-4.075749957472714;-3.2255237132138976;-2.4900780119300214;-2.1245225752147823;-2.0018710876056707,-5.492581346210159;-5.058670471066721,171.66978457646985,0.35,0.0,2.1065926551818848
