step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786853106.368491,-5.315667203300745,202.63456833654132,0.0,1.257969909465039,-3.782513809632955,202.63456833654132,1.2653101874684929,0.15,0.135,0.15,True,0.02126266881320298,True,-7.398295637475513,0.08992995798465736,-0.1,0.0,0.3961926267978604,0.3961926267978604,False,0.3961926267978604,0.38639999547740445,225.32374818025954,1.0;1.0;1.0;0.7127873394178927;0.16119867319266246,0.0;-0.7973500804951117;-1.442057900123383;-1.954730164101838;-2.3531916724432014;-2.6657854468846756,-5.315667203300745;-4.298052130855144;-3.4178150931896996;-2.6564100556090904;-2.0839584962764954;-1.7542644973213697,0.0;-5.315667203300745,202.63456833654132,0.15,0.0,0.0
1,1786853106.5199788,-3.7699916774470776,202.4456769698623,0.0,0.9454860436688617,-1.5744059155562877,202.4456769698623,0.8189046649025252,0.3,0.27,0.15,True,0.015079966709788312,True,-7.907089891022167,0.09038087394256292,-0.1,0.0,0.5254608406523512,0.5254608406523512,False,0.5254608406523512,0.45420000242302194,115.99209678912618,1.0;1.0;1.0;0.48556677926108915;0.09023185759759705,-0.18889136667903017;-0.7543901182960918;-1.1985465384448502;-1.537741841873526;-1.7861457793393307;-1.9791646801805027,-3.7699916774470776;-2.9610428009917222;-2.2613020228578398;-1.6560262497720313;-1.2867926722744802;-1.0860061042381461,-0.18889136667903017;-3.7699916774470776,202.63456833654132,0.3,0.0,0.1514878273010254
2,1786853106.6700616,-3.9512409852339134,202.19833312992287,0.0,0.9935072582475752,-2.49576586633191,202.19833312992287,1.0214280567847636,0.35,0.315,0.15,True,0.015804963940935654,True,-8.428639650248073,0.09614011945818246,-0.1,0.0,0.5769450833991181,0.5769450833991181,False,0.5769450833991181,0.4591999968397431,145.16264817590573,1.0;1.0;1.0;0.48373660752813646;0.06417852260477529,-0.4362352066184485;-1.0289213544035354;-1.4965948722376357;-1.8561324651641324;-2.122132483045552;-2.330454351174214,-3.9512409852339134;-3.117823452227335;-2.3969172861766452;-1.7733334525427982;-1.3888124541910793;-1.182069216093851,-0.4362352066184485;-3.9512409852339134,202.63456833654132,0.35,0.0,0.3015706539154053
3,1786853106.8204718,-4.667438182507747,201.89110905669054,0.0,1.187545282273784,-3.4412264448144585,201.89110905669054,1.2780447134313275,0.35,0.315,0.15,True,0.01866975273003099,True,-9.041531225785803,0.10441762680538128,-0.1,0.0,0.5880873795354122,0.5880873795354122,False,0.5880873795354122,0.4647999958251603,230.7403029366898,1.0;1.0;1.0;0.5473116437502786;0.046709611660242976,-0.7434592798507822;-1.4435750072269444;-2.0041751114073247;-2.4440942015233538;-2.779624214473719;-3.045228651707022,-4.667438182507747;-3.7373340278692018;-2.9327939341068596;-2.2368667530024338;-1.7706962482220217;-1.517639371213976,-0.7434592798507822;-4.667438182507747,202.63456833654132,0.35,0.0,0.4519808292388916
4,1786853106.9709742,-4.915586698421989,201.55944146079412,0.0,1.1282237583570347,-3.4887826687174464,201.55944146079412,1.1101405261104533,0.35,0.315,0.15,True,0.019662346793687956,True,-9.678869230549111,0.11153545240075707,-0.1,0.0,0.5961977991944449,0.5961977991944449,False,0.5961977991944449,0.4391999973449856,291.1403612740987,1.0;1.0;1.0;0.5455425043165766;0.011929155596908042,-1.075126875747202;-1.8124648805105004;-2.4052622546307534;-2.8730319832447724;-3.2326527984958986;-3.519175390993877,-4.915586698421989;-3.95198249413502;-3.1184648574267926;-2.397472101674176;-1.9101506166531892;-1.6487015367259361,-1.075126875747202;-4.915586698421989,202.63456833654132,0.35,0.0,0.6024832725524902
5,1786853107.1215353,-4.566306706771108,201.23697659775314,0.0,1.176684314072714,-2.883461888110084,201.23697659775314,1.204793401668602,0.35,0.315,0.15,True,0.018265226827084435,True,-10.263815236564795,0.11633707248596128,-0.1,0.0,0.5996022993130457,0.5996022993130457,False,0.5996022993130457,0.4746000049635768,296.53025340645337,1.0;1.0;1.0;0.46463546165466246;-0.03979459204779144,-1.3975917387881793;-2.0825377448038456;-2.630016040007397;-3.058584765358469;-3.384296712787146;-3.645128951538492,-4.566306706771108;-3.6498553013570088;-2.8571248356738126;-2.171412982857848;-1.73888159167564;-1.5160709544137658,-1.3975917387881793;-4.566306706771108,202.63456833654132,0.35,0.0,0.7530443668365479
6,1786853107.271997,-4.827166465389751,200.95301850497515,0.0,1.2848846010288215,-3.405810111129951,200.95301850497515,1.3385964305848932,0.35,0.315,0.15,True,0.019308665861559004,True,-10.887890206373271,0.12336040145990196,-0.1,0.0,0.6076690673214609,0.6076690673214609,False,0.6076690673214609,0.42549999488983303,363.12331578711945,1.0;1.0;1.0;0.46961175578880665;-0.06810402751494521,-1.6815498315661728;-2.4056248013746355;-2.9869496502589556;-3.4447956445438925;-3.795832429600363;-4.078346719663714,-4.827166465389751;-3.875498992562134;-3.0523066285662463;-2.3402452337098034;-1.883428600422338;-1.6495969476198058,-1.6815498315661728;-4.827166465389751,202.63456833654132,0.35,0.0,0.9035060405731201
7,1786853107.422458,-4.7234330917771965,200.6389287238844,0.0,1.1886652829531228,-3.145822537989741,200.6389287238844,1.154768710352706,0.35,0.315,0.15,True,0.018893732367108788,True,-11.496405170139866,0.12913435097673026,-0.1,0.0,0.6130280833438391,0.6130280833438391,False,0.6130280833438391,0.46160000056261197,400.30198520377496,1.0;1.0;1.0;0.42251540571036433;-0.11131324751172081,-1.9956396126569302;-2.7041545764235098;-3.272020020081601;-3.71822362884585;-4.059189750426926;-4.33511225233759,-4.7234330917771965;-3.7857696243872754;-2.974690725094993;-2.2731074772071693;-1.8394833460710922;-1.624547068605011,-1.9956396126569302;-4.7234330917771965,202.63456833654132,0.35,0.0,1.053966999053955
8,1786853107.5729525,-4.6519277420282386,200.34535722540556,0.0,1.2611711153796228,-3.088129198468039,200.34535722540556,1.2995853215658624,0.35,0.315,0.15,True,0.018607710968112954,True,-12.0941943314441,0.13489772654052573,-0.1,0.0,0.6185054375086387,0.6185054375086387,False,0.6185054375086387,0.43619999632937834,441.5440112152904,1.0;1.0;1.0;0.3819085197225571;-0.15092795219448968,-2.2892111111357565;-2.9870002724399924;-3.5455878969681565;-3.9837661921850183;-4.317790417547604;-4.589535489098726,-4.6519277420282386;-3.723917496854426;-2.921188634779079;-2.2268281690839036;-1.8116338103408094;-1.6123416316031471,-2.2892111111357565;-4.6519277420282386,202.63456833654132,0.35,0.0,1.2044615745544434
9,1786853107.7230012,-4.916409027647046,199.9873025710863,0.0,1.188287968670899,-3.4966047563873173,199.9873025710863,1.164392612370614,0.35,0.315,0.15,True,0.019665636110588185,True,-12.731655685591164,0.14206578393885277,-0.1,0.0,0.6267314200494409,0.6267314200494409,False,0.6267314200494409,0.43060000461991876,539.4819317398538,1.0;1.0;1.0;0.3795414283410752;-0.18857889503859712,-2.6472657654550176;-3.3847271196020747;-3.977631190939279;-4.445493212645961;-4.805193861422241;-5.099255558338375,-4.916409027647046;-3.9526938089146952;-3.1190801447112113;-2.398004325175198;-1.9604113127742235;-1.7523294540612826,-2.6472657654550176;-4.916409027647046,202.63456833654132,0.35,0.0,1.3545103073120117
