step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854521.6473951,-0.42543339375474387,0.0,0.0,-0.0070289361816962825,1.099683617316621,0.12870053897837705,-0.008869208133394549,0.0,0.0,0.0005105200725056926,False,0.0017017335750189756,True,0.0,0.0,0.0,0.0,0.0022122536475246684,0.0022122536475246684,False,0.0022122536475246684,0.1799000019673258,-0.0015203238110584848;0.003573588329868927,0.004254333937547439,0.9128443082745493,106.10314563014462,0.9999999997425033,False,0.004254333937547439,0.0,0.0,0.0
1,1786854521.7987955,-0.1776028914029263,0.0,0.0,0.03612070903433552,1.4537271921049317,0.23504815789761366,0.05277314217522232,0.00384360223458163,0.003459242011123467,0.0007236435421892042,False,0.0007104115656117051,True,0.0,0.0,0.0,0.0,0.004893297118924377,0.004893297118924377,False,0.004893297118924377,0.1553999973111786,0.003813219443045731;0.006064059689012101,0.0017760289140292627,3.314333015711991,27.88825748786161,0.8217325963291855,False,0.005619631148610893,0.00384360223458163,0.0,0.15140032768249512
2,1786854521.949273,0.1965517409804008,0.0,0.0,-0.030786797348732395,1.8820207373589057,0.37683313337625596,-0.061301714893174056,0.006813554609283054,0.006132199148354749,0.0004877814530127232,False,-0.0007862069639216031,True,0.0,0.0,0.0,0.0,0.005833773637445869,0.005833773637445869,False,0.005833773637445869,0.14479999663308263,0.000597075601731052;0.004976752698260213,-0.0019655174098040084,1.7272650207835036,5.525563660080644,0.6773085886920952,False,0.004848037199479046,0.006813554609283054,0.0,0.3018779754638672
3,1786854522.0995443,-0.09119098455983522,0.0,0.0,-0.004649077425130198,1.310607715565714,0.5191753577584826,0.0047125305904296205,0.004922304786281702,0.004430074307653532,0.0004877814530127232,False,0.0,True,0.0,0.0,0.0,0.0,0.004917855760666255,0.004917855760666255,False,0.004917855760666255,0.14370000280905515,0.0007156003074330678;0.0052357123876059395,0.0009119098455983524,0.31230615835507597,5.682383392418866,0.05389365847015172,False,0.005834214631880054,0.004922304786281702,0.0,0.4521491527557373
4,1786854522.249883,0.33499063168739246,0.0,0.0,0.04765829813536334,2.042756906864712,0.6538378201790406,0.06823547285244802,0.005475431786628635,0.0049278886079657715,8.579269498785227e-05,False,-0.0013399625267495698,True,0.0,0.0,0.0,0.0,0.003673718776204054,0.003673718776204054,False,0.003673718776204054,0.16350000078091398,-0.0027848263878094423;0.0044401487742151075,-0.003349906316873925,1.0715806432355997,3.1975256828817904,0.6848993844103379,False,0.00212552546975471,0.005475431786628635,0.0,0.6024878025054932
5,1786854522.4002833,-0.16135498019752992,0.0,0.0,0.10330958543180734,1.1510424829231538,0.8075213182747517,0.12531986517858507,0.0048894943808736584,0.004400544942786293,0.0002794186712248882,False,0.0006454199207901197,True,0.0,0.0,0.0,0.0,0.005325383534801301,0.005325383534801301,False,0.005325383534801301,0.1447000031475909,-0.003350281917185021;0.004719683120547402,0.0016135498019752992,0.3909249203346533,3.167400781092284,0.10898196609357987,False,0.006503044182848958,0.0048894943808736584,0.0,0.7528882026672363
6,1786854522.5504565,-0.17577610690229892,0.0,0.0,0.0415925870274234,1.3431604212955934,0.9931176186879914,0.01330217290241773,0.005308582632975355,0.00477772436967782,0.0004903499995076468,False,0.0007031044276091956,True,0.0,0.0,0.0,0.0,0.005971178796794663,0.005971178796794663,False,0.005971178796794663,0.14489999739453197,-0.003931008666845736;0.004972716677191475,0.0017577610690229888,0.3603779867755228,3.171353779220262,0.09993304695405869,False,0.007066343701998344,0.005308582632975355,0.0,0.9030613899230957
7,1786854522.70077,-0.4967254002775051,0.0,0.0,-0.06938113678017109,0.890841913633057,1.1913609266055496,-0.11878157607798129,0.006925348530724765,0.006232813677652289,0.001086420479840653,False,0.0019869016011100204,True,0.0,0.0,0.0,0.0,0.009306135758602962,0.009306135758602962,False,0.009306135758602962,0.15210000128718093,-0.007765395469263053;0.0052137026726155845,0.004967254002775051,0.7734559492950337,2.2851240837885367,0.41075937272001567,False,0.011892602533499816,0.006925348530724765,0.0,1.0533747673034668
8,1786854522.8512247,-0.04576485106943219,0.0,0.0,-0.013599163302067185,1.6726209668053924,1.3524407116093053,0.008467124808279082,0.005569084839761652,0.005012176355785487,0.001086420479840653,False,0.0,True,0.0,0.0,0.0,0.0,0.00609859683562614,0.00609859683562614,False,0.00609859683562614,0.14280000323196873,-0.007693127687591935;0.00528407122760929,0.00045764851069432164,0.22040509034390754,2.348474780639531,0.010807632778478161,True,0.0060267333504559735,0.005569084839761652,0.0,1.2038295269012451
9,1786854523.0015485,-0.5989175257378727,0.0,0.0,-0.041439222560908484,0.6891340533327318,1.525938059652674,-0.055210948480681594,0.009891620227447374,0.008902458204702637,0.0018051215107261001,False,0.002395670102951491,True,0.0,0.0,0.0,0.0,0.013103249818380229,0.013103249818380229,False,0.013103249818380229,0.14290000399341807,-0.011647235735056004;0.005326083926546642,0.005989175257378725,0.6602463720451746,1.7425875353808613,0.30875760551207765,False,0.0158807954848261,0.009891620227447374,0.0,1.3541533946990967
10,1786854523.151595,-0.06831639877384044,0.0,0.0,0.09884626820891197,1.6842010952821096,1.6665630338794872,0.1571283494442796,0.006121781127635653,0.005509603014872087,0.0018051215107261001,False,0.0,True,0.0,0.0,0.0,0.0,0.007314724525598187,0.007314724525598187,False,0.007314724525598187,0.15529999654972926,-0.011539776387844789;0.005423007644515324,0.0006831639877384046,0.21182694015749787,1.7826602007389023,0.011349550824940824,True,0.006804945115374057,0.006121781127635653,0.0,1.5041999816894531
11,1786854523.3023844,-0.7373623005736938,0.0,0.0,-0.07034936510513978,0.501020752583448,1.8205137613297313,-0.14470205133428882,0.013932003709962547,0.012538803338966292,0.0026899562714145326,False,0.0029494492022947754,True,0.0,0.0,0.0,0.0,0.018178208812675598,0.018178208812675598,False,0.018178208812675598,0.15179999900283292,-0.015825731176286835;0.005249753269295541,0.00737362300573694,0.5817296533472062,1.3076345219506953,0.25725809605730715,False,0.021305626715699487,0.013932003709962547,0.0,1.654989242553711
12,1786854523.4524875,-0.1431269557367509,0.0,0.0,-0.06198847218162816,1.636662345979018,1.919373104660231,-0.0602455043089643,0.007514841994865665,0.006763357795379099,0.0026899562714145326,False,0.0,True,0.0,0.0,0.0,0.0,0.00945331406679363,0.00945331406679363,False,0.00945331406679363,0.13949999993201345,-0.01569675252344685;0.00542494740664182,0.0014312695573675087,0.15199868761342075,1.35051266534942,0.01309935450759676,True,0.008946111552233174,0.007514841994865665,0.0,1.8050923347473145
13,1786854523.602856,0.06873294172370942,0.0,0.0,0.09121189103824454,1.6846470517067,2.0683956077817895,0.15502891760934884,0.0043460634301962595,0.003911457087176634,0.0026899562714145326,False,0.0,True,0.0,0.0,0.0,0.0,0.006601413358591167,0.006601413358591167,False,0.006601413358591167,0.13360000593820587,-0.015901195376546138;0.005318901708947306,-0.0006873294172370942,0.3350791059711026,1.2855421096563155,0.013735736175100237,True,0.0036587340129591653,0.0043460634301962595,0.0,1.955460786819458
14,1786854523.7533407,-0.37743376216469104,0.0,0.0,-0.06493443881243469,0.9564689472402164,2.2006974943857913,-0.13369456641442407,0.011320549702832906,0.010188494732549616,0.003142876786012162,False,0.0015097350486587642,True,0.0,0.0,0.0,0.0,0.014841106567220543,0.014841106567220543,False,0.014841106567220543,0.1480999999330379,-0.01664387978253141;0.005515788575841699,0.00377433762164691,0.20356918536256166,1.3057640552824867,0.04381983336625993,True,0.015094887324479816,0.011320549702832906,0.0,2.105945587158203
15,1786854523.9038699,0.14476289651091467,0.0,0.0,0.16539730593445207,1.8936784755861105,2.313878255994765,0.2622706388742767,0.003106372329342999,0.0027957350964086993,0.003142876786012162,False,0.0,True,0.0,0.0,0.0,0.0,0.005938611882420861,0.005938611882420861,False,0.005938611882420861,0.134299996716436,-0.017143747699501437;0.005298264137196175,-0.0014476289651091467,0.3765789532014568,1.1971685748015235,0.030380790533382156,True,0.0016587433642338523,0.003106372329342999,0.0,2.256474733352661
16,1786854524.0543153,-0.4463333085759106,0.0,0.0,0.032254248477506,0.8254567574582433,2.4590424746587702,-0.026647333812883436,0.012950089769305307,0.011655080792374777,0.0036784767563032544,False,0.0017853332343036423,True,0.0,0.0,0.0,0.0,0.017118890782981674,0.017118890782981674,False,0.017118890782981674,0.14630000077886507,-0.018301141087930392;0.005450406317954354,0.004463333085759106,0.2615422750711027,1.1797181544116981,0.06113217097995321,False,0.017413422855064413,0.012950089769305307,0.0,2.4069201946258545
17,1786854524.2043502,-0.3631483455214506,0.0,0.0,0.0540998445491324,1.1976193640018256,2.599807176002451,0.061621970913845456,0.012096435425190916,0.010886791882671824,0.0041142547709289955,False,0.0014525933820858023,True,0.0,0.0,0.0,0.0,0.016453640035686622,0.016453640035686622,False,0.016453640035686622,0.14629999350290745,-0.018887573896525168;0.005626419676982115,0.0036314834552145063,0.16860267654053385,1.2099715977640635,0.031067805345786674,True,0.015727918880405423,0.012096435425190916,0.0,2.556955099105835
