step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,rls_theta,rls_prediction_error,rls_kalman_gain_norm,rls_P_trace,rls_theta_delta,rls_converged,rls_target,rls_model_raw,rls_static_bias,elapsed_s
0,1786854527.6652038,-0.0643964830610173,0.0,0.0,0.004205163514837313,1.4607205280103475,6.066023906853108,0.0023648915631390467,0.0,0.0,0.0,False,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0962999984039925,-4.091076490112141e-05;0.0006352950185549329,0.0006439648306101731,0.9885802456514403,106.24969471842172,0.9999999984291819,False,0.0006439648306101731,0.0,0.0,0.0
1,1786854527.816704,0.2879141359377451,0.0,0.0,-0.037832156249718404,1.9640214122942938,6.21705288611746,-0.05768842238622627,0.0006235162310278743,0.0005611646079250869,-0.00034549696312529413,False,-0.0011516565437509805,True,0.0,0.0,0.0,0.0,-0.0009359888989511878,-0.0009359888989511878,False,-0.0009359888989511878,0.15259999781847,-0.007161544708485686;-1.0243851115686016e-05,-0.0028791413593774514,2.48332215875346,15.067285489067658,0.9983639719597168,False,-0.0022556251283495773,0.0006235162310278743,0.0,0.15150022506713867
2,1786854527.9671886,0.24281325847496033,0.0,0.0,-0.07630682913544173,1.7486013220622745,6.403878599568371,-0.09463624660959286,-0.0017491618574972051,-0.0015742456717474846,-0.0006368728732952466,False,-0.0009712530338998413,True,0.0,0.0,0.0,0.0,-0.0031823715789425725,-0.0031823715789425725,False,-0.0031823715789425725,0.15269999857991934,-0.009780385086006373;-0.0004395035380819485,-0.0024281325847496033,1.0929335777642264,13.732312084870395,0.27106419534013043,False,-0.004177294442246808,-0.0017491618574972051,0.0,0.3019847869873047
3,1786854528.1177316,-0.6135773830523367,0.0,0.0,-0.08348013014027622,0.5445150673644723,6.558132682914248,-0.08839467395118929,0.005561519548233944,0.00500536759341055,9.941998636755751e-05,False,0.002454309532209347,True,0.0,0.0,0.0,0.0,0.007559097111987455,0.007559097111987455,False,0.007559097111987455,0.15800000255694613,-0.01657939256443081;0.0008847728322131125,0.006135773830523367,1.1289162699270117,2.232510874648661,0.4172005988160529,False,0.011697293378757311,0.005561519548233944,0.0,0.4525277614593506
4,1786854528.268036,-0.5080847484800872,0.0,0.0,-0.005609002490758928,1.0622433916936702,6.677875469076217,0.025924065978764503,0.009308509333264568,0.008377658399938112,0.0007091216845436623,False,0.002032338993920349,True,0.0,0.0,0.0,0.0,0.011119119078402124,0.011119119078402124,False,0.011119119078402124,0.14540000120177865,-0.01938278739473321;0.0015868066766866133,0.0050808474848008725,0.5687950532240587,1.793632206323032,0.14860219839301372,False,0.01438935681806544,0.009308509333264568,0.0,0.6028320789337158
5,1786854528.4187853,-0.205533722690188,0.0,0.0,0.05137585086123062,1.449248013719705,6.774513375630853,0.07395765891752788,0.005570623126038581,0.005013560813434723,0.0009557621517718878,False,0.000822134890760752,True,0.0,0.0,0.0,0.0,0.006791457855967362,0.006791457855967362,False,0.006791457855967362,0.1464000015403144,-0.019533596122380984;0.0019500673991326993,0.00205533722690188,0.19136581050494025,1.8427210722476839,0.020036035283781877,True,0.007625960352940461,0.005570623126038581,0.0,0.7535815238952637
6,1786854528.5693088,0.06728935473552856,0.0,0.0,0.03951887784487045,1.7093305418464861,6.909735731662303,0.032597046029017834,0.0006356643203932601,0.0005720978883539341,0.0009557621517718878,False,0.0,True,0.0,0.0,0.0,0.0,0.0015278600401258217,0.0015278600401258217,False,0.0015278600401258217,0.13749999925494194,-0.01973552884224556;0.0018139477617718574,-0.0006728935473552857,0.36191007991224017,1.7712484003391051,0.012287726262773805,True,-3.722922696202562e-05,0.0006356643203932601,0.0,0.9041049480438232
7,1786854528.719797,0.03625018885141508,0.0,0.0,-0.04223480064005031,1.5480647002581598,7.058409750513524,-0.07911236337100033,0.0010985311141579067,0.000988678002742116,0.0009557621517718878,False,0.0,True,0.0,0.0,0.0,0.0,0.0019444401545140038,0.0019444401545140038,False,0.0019444401545140038,0.13410000246949494,-0.019814278179297515;0.0017523647439646563,-0.0003625018885141508,0.2757768425393731,1.771977468718153,0.005025716580560764,True,0.0007360292256437559,0.0010985311141579067,0.0,1.0545930862426758
8,1786854528.8702826,-0.1652939733405933,0.0,0.0,-0.030035684372513055,1.2734469682199108,7.179350944927131,-0.02664776363812393,0.005027545513096559,0.004524790961786903,0.0011541149197805997,False,0.0006611758933623732,True,0.0,0.0,0.0,0.0,0.006340081774929876,0.006340081774929876,False,0.006340081774929876,0.1455999954487197,-0.0199739880679197;0.001958472785779746,0.0016529397334059332,0.1577460124506204,1.8362824675012703,0.012991907935632608,True,0.006680485246502492,0.005027545513096559,0.0,1.2050788402557373
9,1786854529.0204096,-0.0883417747733855,0.0,0.0,0.06209097487744741,1.4697547499696397,7.307311279595976,0.09973355689001792,0.0037230103410021975,0.0033507093069019777,0.0011541149197805997,False,0.0,True,0.0,0.0,0.0,0.0,0.004504824226682577,0.004504824226682577,False,0.004504824226682577,0.13419999595498666,-0.01994731479593318;0.002071281948285528,0.0008834177477338549,0.13121727888880055,1.9132505770721933,0.0057802137866433895,True,0.0046064280887360524,0.0037230103410021975,0.0,1.355205774307251
10,1786854529.170819,-0.14470220517302823,0.0,0.0,-0.06731864809075908,1.356260335727061,7.465696697413803,-0.12462018702883154,0.004957702386537633,0.00446193214788387,0.0011541149197805997,False,0.0,True,0.0,0.0,0.0,0.0,0.00561604706766447,0.00561604706766447,False,0.00561604706766447,0.1354000050923787,-0.020040688778460606;0.002228693903918702,0.0014470220517302824,0.12648215651632952,1.9958074690969394,0.009076589806385175,True,0.0064047244382679155,0.004957702386537633,0.0,1.505615234375
11,1786854529.321245,0.28092535275371444,0.0,0.0,0.01505950693485162,1.9884541743651118,7.599473906565033,0.04852415856555794,-0.0034012436605977505,-0.0030611192945379753,0.0008170044964761424,False,-0.0011237014110148577,True,0.0,0.0,0.0,0.0,-0.003367816209076691,-0.003367816209076691,False,-0.003367816209076691,0.14240000018617138,-0.02155192050430307;0.0018213235664288037,-0.002809253527537145,0.5571496876543113,1.6598349369852496,0.07236549854861483,False,-0.006210497188134895,-0.0034012436605977505,0.0,1.656041145324707
12,1786854529.4717708,0.13701394985877563,0.0,0.0,0.026543973479994154,1.600454645403738,7.744747160117531,0.0296256157619284,-0.0011315901889080954,-0.0010184311700172858,0.0008170044964761424,False,0.0,True,0.0,0.0,0.0,0.0,-0.00020142667354114342,-0.00020142667354114342,False,-0.00020142667354114342,0.13130000297678635,-0.02193704482533795;0.0016627312863447367,-0.0013701394985877564,0.3039836492393696,1.6379338861825523,0.018931845562425977,True,-0.0025017296874958518,-0.0011315901889080954,0.0,1.8065669536590576
13,1786854529.6222882,0.12035572835642747,0.0,0.0,-0.009865955198475636,1.6383335016410716,7.848961728105148,-0.02731048229808953,-0.0009775177215964105,-0.0008797659494367695,0.0008170044964761424,False,0.0,True,0.0,0.0,0.0,0.0,-6.276145296062706e-05,-6.276145296062706e-05,False,-6.276145296062706e-05,0.1360000023851171,-0.022217863385739473;0.0015368474469099668,-0.001203557283564275,0.25569458705174813,1.6487600527636144,0.013818137048149458,True,-0.0021810750051606854,-0.0009775177215964105,0.0,1.9570844173431396
14,1786854529.7727547,0.1336569787170452,0.0,0.0,0.03998853964527027,1.6644745256572462,7.965536097250757,0.05951447976946311,-0.0014327250467760318,-0.0012894525420984286,0.0008170044964761424,False,0.0,True,0.0,0.0,0.0,0.0,-0.0004724480456222862,-0.0004724480456222862,False,-0.0004724480456222862,0.13190000026952475,-0.0225294862289749;0.0014077309909024834,-0.0013365697871704524,0.2523719302631002,1.6625157493486233,0.014942912603909739,True,-0.002769294833946484,-0.0014327250467760318,0.0,2.107550859451294
15,1786854529.9232461,0.34896481468565016,0.0,0.0,0.10635150055973677,1.9663566126007028,8.095543261174452,0.13295249757138128,-0.00645426699595465,-0.005808840296359185,0.0003982467188533622,False,-0.0013958592587426006,True,0.0,0.0,0.0,0.0,-0.006806452836248423,-0.006806452836248423,False,-0.006806452836248423,0.14369999553309754,-0.024122351101236533;0.001124159659064697,-0.0034896481468565015,0.4636311306405072,1.466978806557493,0.06699825776218943,False,-0.009943915142811151,-0.00645426699595465,0.0,2.258042335510254
16,1786854530.0737398,0.2205779547047478,0.0,0.0,-0.006978044078091605,1.6906720257842973,8.23350355330546,-0.05738812087457346,-0.0041966992095158785,-0.003777029288564291,0.00013355317320766486,False,-0.0008823118188189912,True,0.0,0.0,0.0,0.0,-0.004525787934175617,-0.004525787934175617,False,-0.004525787934175617,0.14399999781744555,-0.0246851025736726;0.0009543782795978948,-0.0022057795470474782,0.2664841038456028,1.462257471652613,0.02379436594994088,True,-0.006402478756563357,-0.0041966992095158785,0.0,2.408535957336426
