step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,theta,lr_model_raw,lr_static_bias,elapsed_s
0,1786853005.8569806,-0.5693907690587396,0.0,0.0,0.18612063621809619,0.96376262460905,4.245805281556689,0.19346091422155004,0.056939076905873964,0.051245169215286566,0.15,True,0.0022775630762349587,True,0.0,0.0,0.0,0.0,0.2035227322915215,0.2035227322915215,False,0.2035227322915215,0.07310000364668667,-0.1;0.0,0.056939076905873964,0.0,0.0
1,1786853006.009084,-0.857730082951868,0.0,0.0,0.48635479680944016,0.551849319047438,4.283141042843694,0.62236685792347,0.0857730082951868,0.07719570746566813,0.15,True,0.003430920331807472,True,0.0,0.0,0.0,0.0,0.23062662779747561,0.23062662779747561,False,0.23062662779747561,0.0790999984019436,-0.1;0.0,0.0857730082951868,0.0,0.15210342407226562
2,1786853006.1594956,-1.3672341982788707,0.0,0.0,0.32976661716766387,-0.05243971117979651,4.29658055353573,0.26999767532464214,0.13672341982788708,0.12305107784509837,0.15,True,0.005468936793115483,True,0.0,0.0,0.0,0.0,0.27852001463821385,0.27852001463821385,False,0.27852001463821385,0.0760000039008446,-0.1;0.0,0.13672341982788708,0.0,0.30251502990722656
3,1786853006.3099823,-1.6791696398282703,0.0,0.0,0.4918294740017796,-0.27970286396736627,4.261808480206567,0.5686252620769974,0.16791696398282704,0.15112526758454434,0.15,True,0.006716678559313081,True,0.0,0.0,0.0,0.0,0.3078419461438574,0.3078419461438574,False,0.3078419461438574,0.076299998909235,-0.1;0.0,0.16791696398282704,0.0,0.4530017375946045
4,1786853006.460392,-2.4379828041147023,0.0,0.0,0.6191590371272915,-1.2300350522839545,4.1726975914179905,0.6810691278988219,0.24379828041147023,0.2194184523703232,0.15,True,0.00975193121645881,True,0.0,0.0,0.0,0.0,0.379170383586782,0.379170383586782,False,0.379170383586782,0.08160000288626179,-0.1;0.0,0.24379828041147023,0.0,0.6034114360809326
5,1786853006.6107156,-2.9771004887994508,0.0,0.0,0.7109700917587194,-1.6749975314251242,4.021121707498967,0.7576579646042139,0.29771004887994507,0.26793904399195057,0.15,True,0.011908401955197804,True,0.0,0.0,0.0,0.0,0.4298474459471484,0.4298474459471484,False,0.4298474459471484,0.08380000508623198,-0.1;0.0,0.29771004887994507,0.0,0.7537350654602051
6,1786853006.7609293,-3.192841005117051,0.0,0.0,0.8466594296255239,-1.752147832728233,3.8586242265190434,0.9121522810004654,0.3192841005117051,0.2873556904605346,0.15,True,0.012771364020468204,True,0.0,0.0,0.0,0.0,0.45012705448100276,0.45012705448100276,False,0.45012705448100276,0.07660000119358301,-0.1;0.0,0.3192841005117051,0.0,0.9039487838745117
7,1786853006.9112697,-3.3692217734601826,0.0,0.0,0.871521005236358,-1.9116601376537345,3.6562595127754722,0.8895162442158837,0.33692217734601826,0.30322995961141647,0.15,True,0.01347688709384073,True,0.0,0.0,0.0,0.0,0.46670684670525714,0.46670684670525714,False,0.46670684670525714,0.07449999975506216,-0.1;0.0,0.33692217734601826,0.0,1.0542891025543213
8,1786853007.061611,-3.7700702500893266,0.0,0.0,0.8722491135988677,-2.4087090606911703,3.482979754459421,0.8799014380433973,0.3770070250089327,0.33930632250803944,0.15,True,0.015080281000357307,True,0.0,0.0,0.0,0.0,0.5043866035083967,0.5043866035083967,False,0.5043866035083967,0.076299998909235,-0.1;0.0,0.3770070250089327,0.0,1.2046303749084473
9,1786853007.2120736,-4.29424981518708,0.0,0.0,0.9735359889945836,-2.9857448065611853,3.2136340964208494,1.0242849278819157,0.42942498151870806,0.38648248336683727,0.15,True,0.01717699926074832,True,0.0,0.0,0.0,0.0,0.5536594826275856,0.5536594826275856,False,0.5536594826275856,0.07510000432375818,-0.1;0.0,0.42942498151870806,0.0,1.355093002319336
10,1786853007.3625772,-4.688377709605728,0.0,0.0,1.1519483224404612,-3.3241362706887867,2.8870288017981367,1.235751029063577,0.46883777096057283,0.42195399386451554,0.15,True,0.018753510838422912,True,0.0,0.0,0.0,0.0,0.5907075047029384,0.5907075047029384,False,0.5907075047029384,0.07560000085504726,-0.1;0.0,0.46883777096057283,0.0,1.50559663772583
11,1786853007.5126927,-4.791852983679191,0.0,0.0,1.1458175072832366,-3.303046136042885,2.5707794449118713,1.1505302930764514,0.4791852983679191,0.4312667685311272,0.15,True,0.019167411934716765,True,0.0,0.0,0.0,0.0,0.600434180465844,0.600434180465844,False,0.600434180465844,0.07639999967068434,-0.1;0.0,0.4791852983679191,0.0,1.6557121276855469
12,1786853007.6629062,-4.6235714478092635,0.0,0.0,1.1667830916171227,-3.018297395911505,2.267225012018343,1.183108620049385,0.4623571447809264,0.4161214303028338,0.15,True,0.018494285791237054,True,0.0,0.0,0.0,0.0,0.5846157160940708,0.5846157160940708,False,0.5846157160940708,0.08199999865610152,-0.1;0.0,0.4623571447809264,0.0,1.8059256076812744
13,1786853007.8129625,-4.935270143057959,0.0,0.0,1.1189063538346136,-3.535701904496754,1.8969901227115127,1.105728029931278,0.49352701430579593,0.44417431287521636,0.15,True,0.019741080572231836,True,0.0,0.0,0.0,0.0,0.6139153934474482,0.6139153934474482,False,0.6139153934474482,0.07529999857069924,-0.1;0.0,0.49352701430579593,0.0,1.955981969833374
14,1786853007.9634223,-4.889997040471432,0.0,0.0,1.235274770800486,-3.337440888552273,1.4648167346347978,1.2924872275036,0.4889997040471432,0.4400997336424289,0.15,True,0.019559988161885727,True,0.0,0.0,0.0,0.0,0.6096597218043146,0.6096597218043146,False,0.6096597218043146,0.07519999780924991,-0.1;0.0,0.4889997040471432,0.0,2.1064417362213135
15,1786853008.113814,-5.099992995214002,0.0,0.0,1.1997451988316987,-3.656837867864458,1.1408177252373068,1.191858517419958,0.5099992995214002,0.4589993695692602,0.15,True,0.02039997198085601,True,0.0,0.0,0.0,0.0,0.6293993415501161,0.6293993415501161,False,0.6293993415501161,0.07809999806340784,-0.1;0.0,0.5099992995214002,0.0,2.256833553314209
