step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,theta,lr_model_raw,lr_static_bias,elapsed_s
0,1786854581.3769581,7.910743973467771,0.0,0.0,-1.9234178427553843,9.35652558185794,88.6799780222895,-1.9262110947951852,-0.7910743973467772,-0.7119669576120995,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.7119669576120995,-0.7119669576120995,False,-0.7119669576120995,0.04890000127488747,-0.1;0.0,-0.7910743973467772,0.0,0.0
1,1786854581.5284677,6.6485273437908345,0.0,0.0,-1.5587231940255952,7.553358968033744,89.42649904536998,-1.4052187394669153,-0.6648527343790835,-0.5983674609411752,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.5983674609411752,-0.5983674609411752,False,-0.5983674609411752,0.06659999780822545,-0.1;0.0,-0.6648527343790835,0.0,0.15150952339172363
2,1786854581.6789248,5.557345591423774,0.0,0.0,-1.2649409516374772,6.535477877370916,90.01577278905096,-1.1418275283680848,-0.5557345591423773,-0.5001611032281397,0.0,False,0.0,False,0.0,0.0,0.0,0.0,-0.5001611032281397,-0.5001611032281397,False,-0.5001611032281397,0.06839999696239829,-0.1;0.0,-0.5557345591423773,0.0,0.30196666717529297
3,1786854581.8294384,4.349344975922976,0.0,0.0,-1.1103762297410744,5.2774120348128015,90.62052208262168,-1.0469274581109884,-0.4349344975922976,-0.3914410478330678,-0.0052192139711075706,False,-0.017397379903691904,True,0.0,0.0,0.0,0.0,-0.4140576417078673,-0.4140576417078673,False,-0.4140576417078673,0.07529999857069924,-0.1;0.0,-0.4349344975922976,0.0,0.4524803161621094
4,1786854581.979929,3.5004249876472784,0.0,0.0,-0.9536981479069069,4.582383743919291,91.04310936355431,-0.8893436505892073,-0.35004249876472787,-0.3150382488882551,-0.009419723956284305,False,-0.014001699950589114,True,0.0,0.0,0.0,0.0,-0.33845967279512856,-0.33845967279512856,False,-0.33845967279512856,0.07959999493323267,-0.1;0.0,-0.35004249876472787,0.0,0.6029708385467529
5,1786854582.1304352,2.760931840541457,0.0,0.0,-0.7075219987803252,3.889787814457702,91.45010138805459,-0.6048111869087339,-0.27609318405414573,-0.24848386564873118,-0.012732842164934054,False,-0.011043727362165828,True,0.0,0.0,0.0,0.0,-0.2722604351758311,-0.2722604351758311,False,-0.2722604351758311,0.07889999687904492,-0.1;0.0,-0.27609318405414573,0.0,0.7534770965576172
6,1786854582.280906,2.2782573691247787,0.0,0.0,-0.6203164012709826,3.5171784897649414,91.77718331036547,-0.5857358258067796,-0.22782573691247787,-0.2050431632212301,-0.015466751007883788,False,-0.009113029476499114,True,0.0,0.0,0.0,0.0,-0.22962294370561298,-0.22962294370561298,False,-0.22962294370561298,0.08240000170189887,-0.1;0.0,-0.22782573691247787,0.0,0.9039478302001953
7,1786854582.430974,1.7313720325405924,0.0,0.0,-0.5581103926215248,2.942774210966109,92.1397012428388,-0.534243926668701,-0.17313720325405924,-0.1558234829286533,-0.017544397446932498,False,-0.006925488130162369,True,0.0,0.0,0.0,0.0,-0.18029336850574817,-0.18029336850574817,False,-0.18029336850574817,0.0788000033935532,-0.1;0.0,-0.17313720325405924,0.0,1.054015874862671
8,1786854582.5814183,1.6722755575179435,0.0,0.0,-0.34287918284506996,3.092730105184119,92.47450320604118,-0.2534304878378188,-0.16722755575179438,-0.15050480017661494,-0.01955112811595403,False,-0.006689102230071775,True,0.0,0.0,0.0,0.0,-0.17674503052264073,-0.17674503052264073,False,-0.17674503052264073,0.07819999882485718,-0.1;0.0,-0.16722755575179438,0.0,1.2044601440429688
9,1786854582.731914,1.571520514846001,0.0,0.0,-0.4343478534517308,2.974121390662479,92.74342938517903,-0.47634196432295783,-0.1571520514846001,-0.1414368463361401,-0.021436952733769228,False,-0.006286082059384004,True,0.0,0.0,0.0,0.0,-0.1691598811292933,-0.1691598811292933,False,-0.1691598811292933,0.08119999984046444,-0.1;0.0,-0.1571520514846001,0.0,1.3549559116363525
10,1786854582.882118,1.4140826960017163,0.0,0.0,-0.3872691322415859,2.7923909534586193,93.10324686431913,-0.36988578947703904,-0.14140826960017164,-0.12726744264015447,-0.02313385196897129,False,-0.005656330784006866,True,0.0,0.0,0.0,0.0,-0.15605762539313264,-0.15605762539313264,False,-0.15605762539313264,0.07709999772487208,-0.1;0.0,-0.14140826960017164,0.0,1.505159854888916
11,1786854583.0323293,1.6893899727560653,0.0,0.0,-0.3335481546069189,3.2531604140409542,93.38079380801,-0.3133181305175768,-0.16893899727560655,-0.1520450975480459,-0.025161119936278568,False,-0.006757559891024261,True,0.0,0.0,0.0,0.0,-0.18396377737534872,-0.18396377737534872,False,-0.18396377737534872,0.07890000415500253,-0.1;0.0,-0.16893899727560655,0.0,1.6553711891174316
12,1786854583.1830225,1.377387347066842,0.0,0.0,-0.20621356323648743,2.6894535444473426,93.71739049748912,-0.15443484754610343,-0.1377387347066842,-0.1239648612360158,-0.026813984752758778,False,-0.005509549388267369,True,0.0,0.0,0.0,0.0,-0.15628839537704195,-0.15628839537704195,False,-0.15628839537704195,0.07950000144774094,-0.1;0.0,-0.1377387347066842,0.0,1.8060643672943115
13,1786854583.333499,0.9443345206433602,0.0,0.0,-0.2578798758792966,2.2045220605663216,93.96837959795214,-0.2828158333374443,-0.09443345206433602,-0.08499010685790243,-0.027947186177530812,False,-0.003777338082573441,True,0.0,0.0,0.0,0.0,-0.11671463111800667,-0.11671463111800667,False,-0.11671463111800667,0.07660000119358301,-0.1;0.0,-0.09443345206433602,0.0,1.956540822982788
14,1786854583.4840293,0.7421554937678391,0.0,0.0,-0.3216259836282108,2.1012889477827836,94.25489668668007,-0.3517389961318321,-0.07421554937678392,-0.06679399443910553,-0.028837772770052218,False,-0.0029686219750713564,True,0.0,0.0,0.0,0.0,-0.0986003891842291,-0.0986003891842291,False,-0.0986003891842291,0.07840000034775585,-0.1;0.0,-0.07421554937678392,0.0,2.1070711612701416
15,1786854583.6345215,0.9303382473658167,0.0,0.0,-0.20338307386981794,2.456769607297975,94.45731919008495,-0.1555007931560219,-0.09303382473658167,-0.0837304422629235,-0.029954178666891196,False,-0.0037213529894632668,True,0.0,0.0,0.0,0.0,-0.11740597391927797,-0.11740597391927797,False,-0.11740597391927797,0.07670000195503235,-0.1;0.0,-0.09303382473658167,0.0,2.257563352584839
16,1786854583.7850401,0.9120170011233517,0.0,0.0,-0.26897000174142477,2.3499466468381773,94.70036280570065,-0.29987193715477145,-0.09120170011233518,-0.08208153010110167,-0.03104859906823922,False,-0.003648068004493407,True,0.0,0.0,0.0,0.0,-0.1167781971738343,-0.1167781971738343,False,-0.1167781971738343,0.07870000263210386,-0.1;0.0,-0.09120170011233518,0.0,2.4080820083618164
17,1786854583.9355588,1.0882805433592437,0.0,0.0,-0.22644483787760428,2.6096036698505083,94.91333291486595,-0.21101301969005357,-0.10882805433592438,-0.09794524890233194,-0.03235453572027031,False,-0.004353122173436975,True,0.0,0.0,0.0,0.0,-0.13465290679603922,-0.13465290679603922,False,-0.13465290679603922,0.07819999882485718,-0.1;0.0,-0.10882805433592438,0.0,2.558600664138794
18,1786854584.0859993,1.6941744724072618,0.0,0.0,-0.24802511653111953,3.399624907532295,95.16473330577911,-0.26006705942242697,-0.1694174472407262,-0.15247570251665357,-0.03438754508715903,False,-0.0067766978896290474,True,0.0,0.0,0.0,0.0,-0.19363994549344163,-0.19363994549344163,False,-0.19363994549344163,0.07650000043213367,-0.1;0.0,-0.1694174472407262,0.0,2.709041118621826
19,1786854584.2360744,1.5930283706383406,0.0,0.0,-0.3292861000668057,2.9954616496989708,95.4291177524501,-0.366905487907615,-0.15930283706383408,-0.14337255335745067,-0.036299179131925034,False,-0.006372113482553362,True,0.0,0.0,0.0,0.0,-0.18604384597192908,-0.18604384597192908,False,-0.18604384597192908,0.07979999645613134,-0.1;0.0,-0.15930283706383408,0.0,2.859116315841675
20,1786854584.3862038,1.8505765660699751,0.0,0.0,-0.35808195938133336,3.4067359725022723,95.6923073582809,-0.3732162939845033,-0.18505765660699752,-0.16655189094629777,-0.038519871011209,False,-0.007402306264279901,True,0.0,0.0,0.0,0.0,-0.21247406822178666,-0.21247406822178666,False,-0.21247406822178666,0.07790000381646678,-0.1;0.0,-0.18505765660699752,0.0,3.0092456340789795
21,1786854584.53648,3.501022532942196,0.0,0.0,-0.38681802223723083,5.654138127134744,96.29883617772549,-0.40192672978670213,-0.3501022532942196,-0.3150920279647977,-0.04272109805073964,False,-0.014004090131768784,True,0.0,0.0,0.0,0.0,-0.3718172161473061,-0.3718172161473061,False,-0.3718172161473061,0.07819999882485718,-0.1;0.0,-0.3501022532942196,0.0,3.1595218181610107
22,1786854584.686949,5.433887891306772,0.0,0.0,-0.6253174262927315,7.708040367567472,97.03240597508322,-0.7303247086420326,-0.5433887891306772,-0.4890499102176095,-0.04924176352030776,False,-0.021735551565227086,True,0.0,0.0,0.0,0.0,-0.5600272253031444,-0.5600272253031444,False,-0.5600272253031444,0.0788000033935532,-0.1;0.0,-0.5433887891306772,0.0,3.309990882873535
23,1786854584.8374708,7.443437744616508,0.0,0.0,-1.0230960326170127,9.750455004425135,97.93474045411696,-1.1963658302243627,-0.7443437744616509,-0.6699093970154858,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-0.7191511605357935,-0.7191511605357935,False,-0.7191511605357935,0.06560000474564731,-0.1;0.0,-0.7443437744616509,0.0,3.460512638092041
24,1786854584.98795,8.35927715140936,0.0,0.0,-1.304689291554488,10.19756136271075,98.9710700679771,-1.428165368853207,-0.8359277151409361,-0.7523349436268425,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-0.8015767071471502,-0.8015767071471502,False,-0.8015767071471502,0.0681000019540079,-0.1;0.0,-0.8359277151409361,0.0,3.610991954803467
25,1786854585.138439,9.224442827554187,0.0,0.0,-1.4480616284553252,11.04100972572071,100.07733205058966,-1.5123001677383419,-0.9224442827554187,-0.8301998544798769,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-0.8794416180001846,-0.8794416180001846,False,-0.8794416180001846,0.0670000008540228,-0.1;0.0,-0.9224442827554187,0.0,3.7614808082580566
26,1786854585.2885,9.72448978329394,0.0,0.0,-1.693837846874288,11.384577229858289,101.20022713747107,-1.8019637639507875,-0.972448978329394,-0.8752040804964546,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-0.9244458440167623,-0.9244458440167623,False,-0.9244458440167623,0.06569999823113903,-0.1;0.0,-0.972448978329394,0.0,3.9115419387817383
27,1786854585.439006,10.507715044474052,0.0,0.0,-1.851854617615969,12.289164621941412,102.39489603101588,-1.922369342830776,-1.0507715044474053,-0.9456943540026648,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-0.9949361175229725,-0.9949361175229725,False,-0.9949361175229725,0.06589999975403771,-0.1;0.0,-1.0507715044474053,0.0,4.062047958374023
28,1786854585.5895293,10.972081834608066,0.0,0.0,-1.9303676581903768,12.616877781627096,103.65309588155516,-1.9668093561906383,-1.0972081834608065,-0.9874873651147259,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0367291286350337,-1.0,False,-1.0,0.06830000347690657,-0.1;0.0,-1.0972081834608065,0.0,4.212571144104004
29,1786854585.7399092,11.14879870861987,0.0,0.0,-2.0145843145057314,12.670316120157954,104.9057746294143,-2.053470419252113,-1.114879870861987,-1.0033918837757883,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.052633647296096,-1.0,False,-1.0,0.06649999704677612,-0.1;0.0,-1.114879870861987,0.0,4.362951040267944
30,1786854585.8904119,11.316790888020245,0.0,0.0,-1.8921035980852072,12.83456914472486,106.16399847026781,-1.842405114516212,-1.1316790888020245,-1.018511179921822,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0677529434421298,-1.0,False,-1.0,0.06579999899258837,-0.1;0.0,-1.1316790888020245,0.0,4.513453722000122
31,1786854586.0408866,11.116538780084696,0.0,0.0,-1.850223364257734,12.476498056502486,107.37885173361157,-1.8350679446571894,-1.1116538780084697,-1.0004884902076228,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0497302537279305,-1.0,False,-1.0,0.06749999738531187,-0.1;0.0,-1.1116538780084697,0.0,4.663928508758545
32,1786854586.190924,10.915013153757286,0.0,0.0,-1.9301276257424456,12.274426636578564,108.62348925505283,-1.9671655612756946,-1.0915013153757287,-0.9823511838381559,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0315929473584637,-1.0,False,-1.0,0.06540000322274864,-0.1;0.0,-1.0915013153757287,0.0,4.813965797424316
33,1786854586.3414235,11.201129426947988,0.0,0.0,-1.9259788625723537,12.769532295277028,109.86104712235343,-1.926994073253544,-1.1201129426947989,-1.0081016484253191,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0573434119456269,-1.0,False,-1.0,0.06659999780822545,-0.1;0.0,-1.1201129426947989,0.0,4.964465379714966
34,1786854586.4919078,10.87444943652311,0.0,0.0,-2.090371584254505,12.180225334731189,111.1552049280257,-2.163618859872371,-1.087444943652311,-0.97870044928708,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0279422128073878,-1.0,False,-1.0,0.06679999933112413,-0.1;0.0,-1.087444943652311,0.0,5.114949703216553
35,1786854586.642388,10.880936768632395,0.0,0.0,-2.0201410461488636,12.329498662212256,112.39880899291862,-1.9928354961433898,-1.0880936768632397,-0.9792843091769157,-0.04924176352030776,False,0.0,False,0.0,0.0,0.0,0.0,-1.0285260726972234,-1.0,False,-1.0,0.06910000229254365,-0.1;0.0,-1.0880936768632397,0.0,5.265429973602295
