step,timestamp,gyro_z,euler_yaw,accel_y,accel_for_trim,raw_gyro_z,raw_euler_yaw,raw_accel_y,raw_steering,gained_steering,auto_trim,auto_trim_locked,auto_trim_p,auto_trim_active,heading_error,heading_hold,heading_hold_integral,lateral_trim,gained_with_trim,clipped_pre_slew,steering_slew_limited,clipped_steering,compute_ms,mpc_cost,mpc_u_sequence,mpc_predicted_yaw_err,mpc_predicted_rate,mpc_state,mpc_target_yaw,mpc_model_raw,mpc_static_bias,elapsed_s
0,1786854654.487957,8.227713940610556,152.40231889477764,0.0,-2.0867282818877646,9.673495549000723,152.40231889477764,-2.0895215339275657,-0.15,-0.135,-0.009873256728732667,False,-0.03291085576244222,True,0.0,-0.024683141821831667,0.0,0.0,-0.20246725431300655,-0.20246725431300655,False,-0.20246725431300655,0.3854000024148263,577.1551351816055,-1.0;-1.0;-1.0;-1.0;-0.249507074071837,0.0;1.2341570910915833;2.256702974885803;3.096205164367803;3.7773745582697327;4.3215860839949025,8.227713940610556;6.816972558628131;5.596681263213333;4.541129292679534;3.6280768381677966;3.063434342793593,0.0;8.227713940610556,152.40231889477764,-0.15,0.0,0.0
1,1786854654.6397524,3.7975759724441867,152.6990032673367,0.0,-0.990204681225052,3.3447270230487676,152.6990032673367,-0.5230592472665475,-0.3,-0.27,-0.01443034789566569,False,-0.015190303889776748,True,0.45696627209770213,-0.015962390638309582,0.06854494081465531,0.0,-0.315583042423752,-0.315583042423752,False,-0.315583042423752,0.44300000445218757,124.59543866021642,-1.0;-1.0;-1.0;-0.4778762561825215;-0.07731890147068414,0.29668437255907065;0.8663207684256986;1.314056250850332;1.6563474431476397;1.907429324484811;2.103110720313251,3.7975759724441867;2.9849032161642217;2.281941281982052;1.673879208914475;1.3045426388562644;1.1052337121694633,0.29668437255907065;3.7975759724441867,152.40231889477764,-0.3,0.0,0.1517953872680664
2,1786854654.7899597,3.1079365908267462,153.09889731481564,0.0,-0.7867475571955395,4.2581584642380115,153.09889731481564,-0.7023448989369778,-0.35,-0.315,-0.018159871804657786,False,-0.012431746363306986,True,0.8141965315626862,-0.0174657750881071,0.1,0.0,-0.36305739325607184,-0.36305739325607184,False,-0.36305739325607184,0.44519999937620014,108.44066965619935,-1.0;-1.0;-1.0;-0.3431486874050761;-0.0053972660137408595,0.6965784200380085;1.1627689086620205;1.521023681321791;1.7859140596724923;1.9700442369458488;2.113875149354074,3.1079365908267462;2.388365151065136;1.7659358556713423;1.227534515155711;0.9588727493881674;0.8278057484166425,0.6965784200380085;3.1079365908267462,152.40231889477764,-0.35,0.0,0.3020026683807373
3,1786854654.940419,3.129174867944813,153.47685736952042,0.0,-0.6987870307026156,4.584058595099866,153.47685736952042,-0.6638829142454491,-0.35,-0.315,-0.021914881646191563,False,-0.012516699471779252,True,1.1760160568891536,-0.021147685172725975,0.1,0.0,-0.37057926629069676,-0.37057926629069676,False,-0.37057926629069676,0.42499999835854396,141.39383993668935,-1.0;-1.0;-1.0;-0.3060615113696665;0.04216908811140833,1.0745384747427806;1.5439147049345026;1.904925144050342;2.1721991738855433;2.3583912096929924;2.505674552654801,3.129174867944813;2.4067362607722633;1.7818268655680078;1.2412802387163266;0.9818889530787227;0.8619846708465176,1.0745384747427806;3.129174867944813,152.40231889477764,-0.35,0.0,0.45246195793151855
4,1786854655.0909176,3.4715414929153194,153.9717903371619,0.0,-0.8157060558621314,5.064051654864276,153.9717903371619,-0.8686074615417247,-0.35,-0.315,-0.026080731437689946,False,-0.013886165971661278,True,1.595731251846729,-0.026371936997213248,0.1,0.0,-0.38133883440656446,-0.38133883440656446,False,-0.38133883440656446,0.4306999981054105,219.74573252073753,-1.0;-1.0;-1.0;-0.29967571624097206;0.09491755224170581,1.5694714423842697;2.0902026663215674;2.49563517502733;2.801334295057815;3.020764033884184;3.19708535073815,3.4715414929153194;2.7028833913717514;2.0379941335365652;1.4628649255091288;1.175475445693105;1.0452615261970475,1.5694714423842697;3.4715414929153194,152.40231889477764,-0.35,0.0,0.6029605865478516
5,1786854655.2414038,3.576726372529719,154.39748713009158,0.0,-0.6942585974929253,5.067587215040344,154.39748713009158,-0.6450029388030665,-0.35,-0.315,-0.03037280308472561,False,-0.014306905490118876,True,2.030440488028887,-0.031034583997878028,0.1,0.0,-0.3907142925727225,-0.3907142925727225,False,-0.3907142925727225,0.41259999852627516,285.27680048598467,-1.0;-1.0;-1.0;-0.2688012526367887;0.14602723239064452,1.9951682353139404;2.531677191193398;2.9507574380291293;3.2682618515420367;3.4979031692307014;3.684446852662741,3.576726372529719;2.793868312238207;2.1166960900860494;1.5309421179244327;1.2436245562135977;1.1195434108419553,1.9951682353139404;3.576726372529719,152.40231889477764,-0.35,0.0,0.7534468173980713
6,1786854655.391955,3.1734121090848872,154.886002285951,0.0,-0.7393884946137608,4.44634474742727,154.886002285951,-0.7615231311339197,-0.35,-0.315,-0.034180897615627474,False,-0.01269364843633955,True,2.4137968294298275,-0.03365820462155294,0.1,0.0,-0.39553275067351995,-0.39553275067351995,False,-0.39553275067351995,0.4422000056365505,323.982085304214,-1.0;-1.0;-1.0;-0.16310387365436527;0.22056999976398106,2.483683391173372;2.959695207536105;3.3264454286898695;3.5986843699878754;3.7891710542106507;3.946602361748905,3.1734121090848872;2.4450014743584276;1.8149262753200397;1.2699112281518343;1.0495420502550272;0.9740248733997928,2.483683391173372;3.1734121090848872,152.40231889477764,-0.35,0.0,0.9039978981018066
7,1786854655.5424051,3.4157121343588885,155.3854886224659,0.0,-0.8602817704385836,4.965336610723629,155.3854886224659,-0.9148864264033085,-0.35,-0.315,-0.03827975217685814,False,-0.013662848537435554,True,2.839880973927677,-0.038645946142353435,0.1,0.0,-0.40558854685664714,-0.40558854685664714,False,-0.40558854685664714,0.4343000036897138,434.52299263019995,-1.0;-1.0;-1.0;-0.1428188623932259;0.2769338051087312,2.983169727688278;3.495526547842111;3.893715197275177;4.1931483790347786;4.407158081256834;4.585849624871217,3.4157121343588885;2.654590996220439;1.9962212117306797;1.4267313481470378;1.19127695742922;1.1135347097088946,2.983169727688278;3.4157121343588885,152.40231889477764,-0.35,0.0,1.054448127746582
8,1786854655.692935,3.3195835856540254,155.87581064889878,0.0,-0.8304389167146505,4.724167244599252,155.87581064889878,-0.8204423743013373,-0.35,-0.315,-0.04226325247964297,False,-0.013278334342616101,True,3.2578384092590795,-0.04253713484955288,0.1,0.0,-0.4130787216718119,-0.4130787216718119,False,-0.4130787216718119,0.44300000445218757,522.6960921996974,-1.0;-1.0;-1.0;-0.0781216533214698;0.34239157813342685,3.4734917541211416;3.9714292919692453;4.3571452622078555;4.645789576464253;4.8504669082960366;5.023997325931063,3.3195835856540254;2.5714398015907323;1.9242954283759832;1.3645155455452254;1.156869450900179;1.1034095484686828,3.4734917541211416;3.3195835856540254,152.40231889477764,-0.35,0.0,1.2049779891967773
9,1786854655.843425,3.475776018122418,156.35459614115405,0.0,-0.6735660077260065,4.988497240427612,156.35459614115405,-0.6091280130563885,-0.35,-0.315,-0.046434183701389874,False,-0.013903104072489672,True,3.702216644825029,-0.04744949450261754,0.1,0.0,-0.4227867822764971,-0.4227867822764971,False,-0.4227867822764971,0.45039999531582,647.3963492901635,-1.0;-1.0;-1.0;-0.048477560653651434;0.39872613294096065,3.9522772463764113;4.4736436490947735;4.879625587446157;5.185799964120104;5.405640799943068;5.5936216327005175,3.475776018122418;2.706546255675892;2.0411625111596465;1.4656055721530943;1.253205551716331;1.2036406421169146,3.9522772463764113;3.475776018122418,152.40231889477764,-0.35,0.0,1.3554680347442627
10,1786854655.993859,3.5501931698699987,156.87959509991583,0.0,-0.7109735609634904,5.027867843294844,156.87959509991583,-0.7297986215336416,-0.35,-0.315,-0.050694415505233875,False,-0.014200772679479995,True,4.163314105187794,-0.052283720561487945,0.1,0.0,-0.4321789087462018,-0.4321789087462018,False,-0.4321789087462018,0.4239999980200082,787.6417757971442,-1.0;-1.0;-1.0;-0.002985184235849928;0.46343526331846,4.477276205138196;5.009805180618696;5.425442744409328;5.739969237088225;5.967034653255471;6.163311904949525,3.5501931698699987;2.770917091937549;2.09684328452598;1.5137694411149725;1.308515011293696;1.270896063764585,4.477276205138196;3.5501931698699987,152.40231889477764,-0.35,0.0,1.5059020519256592
11,1786854656.1443784,3.654169908247939,157.37057304080747,0.0,-0.8383537639923646,5.144512975942939,157.37057304080747,-0.8957385316159687,-0.35,-0.315,-0.055079419395131404,False,-0.014616679632991757,True,4.641150793889011,-0.057374017663633925,0.1,0.0,-0.44207011669175705,-0.44207011669175705,False,-0.44207011669175705,0.44160000106785446,936.6365482980017,-1.0;-1.0;-1.0;0.034948851927039074;0.5229084680846209,4.968254146029835;5.516379632267026;5.945508177862196;6.271704369802018;6.5088640758299645;6.715579919880855,3.654169908247939;2.8608569706344675;2.1746412795988146;1.5810647068529746;1.3781056270059349;1.34893390778552,4.968254146029835;3.654169908247939,152.40231889477764,-0.35,0.0,1.656421422958374
12,1786854656.2948656,3.6304302493301863,157.87572770238455,0.0,-0.9334128290003512,5.066037718184175,157.87572770238455,-0.9769456803292892,-0.35,-0.315,-0.059435935694327625,False,-0.014521720997320745,True,5.117896847489675,-0.06207025922288731,0.1,0.0,-0.4510279159145357,-0.4510279159145357,False,-0.4510279159145357,0.46189999557100236,1085.0171089411276,-1.0;-1.0;-1.0;0.09150651326302806;0.5880629990859555,5.473408807606916;6.017973345006443;6.444021669857035;6.767553470852797;7.002408478714131;7.209675853611022,3.6304302493301863;2.8403221656706115;2.156878673305079;1.5657000524088933;1.381782499312601;1.3716607616311867,5.473408807606916;3.6304302493301863,152.40231889477764,-0.35,0.0,1.8069086074829102
13,1786854656.4453754,3.9646587783381726,158.35113619960782,0.0,-0.9566319638836814,5.553681184874621,158.35113619960782,-0.9693762737306238,-0.35,-0.315,-0.06419352622833344,False,-0.01585863511335269,True,5.640659433583238,-0.0683005706708469,0.1,0.0,-0.463352732012533,-0.463352732012533,False,-0.463352732012533,0.44970000453758985,1290.2207067219485,-1.0;-1.0;-1.0;0.09692061529101344;0.6385678235385859,5.948817304830186;6.543516121580912;7.01293059807029;7.373974120233602;7.641276766904867;7.876854983963606,3.9646587783381726;3.1294298432625194;2.406956814422079;1.7820176444750986;1.5705214470582642;1.5500713987669743,5.948817304830186;3.9646587783381726,152.40231889477764,-0.35,0.0,1.957418441772461
14,1786854656.5955875,3.5772017980525046,158.81553868083722,0.0,-0.9324104802429793,4.856930414891672,158.81553868083722,-0.9248230964367651,-0.35,-0.315,-0.06848616838599644,False,-0.014308807192210019,True,6.105284148008252,-0.07178444687424003,0.1,0.0,-0.4695794224524465,-0.4695794224524465,False,-0.4695794224524465,0.42630000098142773,1391.4001922908333,-1.0;-1.0;-1.0;0.19794393062164292;0.7095540416330421,6.413219786059585;6.949800055767461;7.368941989064773;7.686499761366948;7.916187234408329;8.123774375467098,3.5772017980525046;2.7942795553154167;2.1170518153478355;1.5312498202758775;1.383914273725127;1.4099520592621475,6.413219786059585;3.5772017980525046,152.40231889477764,-0.35,0.0,2.107630491256714
15,1786854656.7457979,3.879523667009108,159.36161693452073,0.0,-0.9273563719473465,5.454871790666392,159.36161693452073,-0.9279835775747335,-0.35,-0.315,-0.07314159678640737,False,-0.015518094668036431,True,6.618145563489975,-0.07782002663592708,0.1,0.0,-0.4814797180903709,-0.4814797180903709,False,-0.4814797180903709,0.43870000081369653,1644.0144065214658,-1.0;-1.0;-1.0;0.21510338205434437;0.7700406693224593,6.959298039743089;7.541226589794455;7.9995947855888865;8.351083274951069;8.610120818249358;8.843867945394823,3.879523667009108;3.055787971962878;2.34325659574789;1.7269169553219246;1.558314180969768;1.578953967335587,6.959298039743089;3.879523667009108,152.40231889477764,-0.35,0.0,2.257840871810913
16,1786854656.8964996,4.171779809475905,159.93058327547794,0.0,-1.0734663178862012,5.742814050351843,159.93058327547794,-1.1388781181855114,-0.35,-0.315,-0.07814773255777846,False,-0.01668711923790362,True,7.175826720670159,-0.0842736066351293,0.1,0.0,-0.49410845843081136,-0.49410845843081136,False,-0.49410845843081136,0.43619999632937834,1925.4974193549606,-1.0;-1.0;-1.0;0.23603090769146318;0.8337520148593839,7.528264380700307;8.154031352121693;8.650319782401192;9.03460927459296;9.322019685338837;9.581251081480138,4.171779809475905;3.3085895351966577;2.561929947945109;1.9160694049725195;1.7282093076086684;1.7450266555393132,7.528264380700307;4.171779809475905,152.40231889477764,-0.35,0.0,2.4085426330566406
